CATEGORY,START_TIME,ROAD
3,2024-03-02 03:50:00,Восточно-Сибирская
3,2024-03-02 11:45:00,Западно-Сибирская
3,2024-03-02 19:36:00,Красноярская
2,2024-04-02 00:32:00,Восточно-Сибирская
1,2024-04-02 06:56:00,Восточно-Сибирская
3,2024-04-02 09:35:00,Западно-Сибирская
3,2024-04-02 10:50:00,Восточно-Сибирская
2,2024-04-02 21:14:00,Восточно-Сибирская
2,2024-05-02 03:58:00,Октябрьская
1,2024-05-02 04:30:00,Дальневосточная
2,2024-05-02 07:05:00,Дальневосточная
3,2024-05-02 10:07:00,Октябрьская
3,2024-05-02 17:40:00,Восточно-Сибирская
2,2024-05-02 23:14:00,Дальневосточная
2,2024-06-02 07:37:00,Дальневосточная
1,2024-06-02 07:41:00,Забайкальская
1,2024-06-02 14:43:00,Горьковская
3,2024-06-02 18:31:00,Восточно-Сибирская
2,2024-07-02 05:40:00,Восточно-Сибирская
3,2024-08-02 07:33:00,Западно-Сибирская
3,2024-08-02 09:46:00,Южно-Уральская
3,2024-08-02 14:02:00,Восточно-Сибирская
3,2024-09-02 08:35:00,Свердловская
2,2024-09-02 10:49:00,Восточно-Сибирская
2,2024-09-02 19:38:00,Восточно-Сибирская
3,2024-09-02 19:40:00,Западно-Сибирская
3,2024-10-02 02:22:00,Западно-Сибирская
3,2024-10-02 02:37:00,Дальневосточная
3,2024-10-02 10:00:00,Забайкальская
3,2024-10-02 12:30:00,Западно-Сибирская
2,2024-10-02 23:11:00,Восточно-Сибирская
2,2024-11-02 04:47:00,Северная
2,2024-11-02 17:10:00,Дальневосточная
2,2024-11-02 18:01:00,Западно-Сибирская
3,2024-11-02 23:40:00,Куйбышевская
1,2024-12-02 03:39:00,Забайкальская
2,2024-12-02 05:42:00,Октябрьская
3,2024-12-02 17:09:00,Восточно-Сибирская
3,2024-12-02 17:10:00,Восточно-Сибирская
2,2024-12-02 17:18:00,Восточно-Сибирская
1,2024-02-13 16:58:00,Забайкальская
2,2024-02-14 00:30:00,Свердловская
2,2024-02-14 01:50:00,Дальневосточная
3,2024-02-14 06:31:00,Дальневосточная
