CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
2,13178556,2024-01-13 12:30:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,95ч)","1шт ч(к учету 0,12ч)",,"Контактная система, потеря контакта",CSH,2024,2.0,"0,95ч",1.0,"0,12ч",,,11 days 16:14:00,16814.0,1183.0,19,0.0260492040520984,Зима,0.0014048012986607,0
3,13178645,2024-01-13 13:10:00,Горьковская,"ГОРЬК, ШЧ-7",,,,Потеря контакта,CSH,2024,,,,,,,11 days 16:54:00,16854.0,40.0,20,0.0274963820549927,Зима,0.0014048012986607,0
3,13180315,2024-01-13 22:26:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,,12 days 02:10:00,17410.0,556.0,21,0.0289435600578871,Зима,0.0014048012986607,0
2,13181022,2024-01-15 13:54:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,15ч)",,"Электродвигатель, постоянного тока (МСП, ДСП), обрыв обмотки якоря",CSH,2024,,,1.0,"0,15ч",,,13 days 17:38:00,19778.0,2368.0,22,0.0303907380607814,Зима,0.0014048012986607,0
2,13181728,2024-01-16 00:40:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,15ч)",,"Обмотка, обрыв обмотки",CSH,2024,,,1.0,"0,15ч",,,14 days 04:24:00,20424.0,646.0,23,0.0318379160636758,Зима,0.0014048012986607,0
2,13181847,2024-01-16 04:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,53ч)",,,"Лампы, перегорание основной нити",CSH,2024,2.0,"0,53ч",,,,,14 days 08:41:00,20681.0,257.0,24,0.0332850940665701,Зима,0.0014048012986607,0
2,13199065,2024-01-16 18:36:00,Горьковская,"ГОРЬК, ШЧ-3",,,"1шт ч(к учету 0,82)ч","Жилы, сообщение",CSH,2024,,,,,1.0,"0,82ч",14 days 22:20:00,21500.0,819.0,25,0.0347322720694645,Зима,0.0014048012986607,0
1,13182929,2024-01-16 19:08:00,Горьковская,"ГОРЬК, ИЧ-3 МУРАШИ Ш",1шт ч(к учету 1ч),"1шт ч(к учету 0,38ч)",,"Срабатывание, коммутационные перенапряжения",CSH,2024,1.0,1ч,1.0,"0,38ч",,,14 days 22:52:00,21532.0,32.0,26,0.0361794500723589,Зима,0.0014048012986607,0
3,13186653,2024-01-16 20:46:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,,15 days 00:30:00,21630.0,98.0,27,0.0376266280752532,Зима,0.0014048012986607,0
3,13184003,2024-01-17 09:25:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,,"Диод, пробой",CSH,2024,,,,,,,15 days 13:09:00,22389.0,759.0,28,0.0390738060781476,Зима,0.0014048012986607,0
2,13184305,2024-01-17 20:02:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","5шт ч(к учету 2,88ч)",,"2шт (к учету 1) ч(к учету 0,58)ч",Излом провода под гайкой,CSH,2024,5.0,"2,88ч",,,1.0,"0,58ч",15 days 23:46:00,23026.0,637.0,29,0.0405209840810419,Зима,0.0014048012986607,0
3,13192499,2024-01-21 02:04:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,,19 days 05:48:00,27708.0,4682.0,30,0.0419681620839363,Зима,0.0014048012986607,0
2,13188184,2024-01-21 07:05:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,"2шт ч(к учету 0,27)ч","Трансформатор, пробой изоляции",CSH,2024,,,,,2.0,"0,27ч",19 days 10:49:00,28009.0,301.0,31,0.0434153400868306,Зима,0.0014048012986607,0
3,13189437,2024-01-22 07:26:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,,"Трансформатор, обрыв обмотки",CSH,2024,,,,,,,20 days 11:10:00,29470.0,1461.0,32,0.044862518089725,Зима,0.0014048012986607,0
3,13194850,2024-01-26 03:10:00,Горьковская,"ГОРЬК, ИЧ-2 НИЖНИЙ НОВГОРОД Ш",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,24 days 06:54:00,34974.0,5504.0,33,0.0463096960926193,Зима,0.0014048012986607,0
3,13199083,2024-01-26 17:30:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,,24 days 21:14:00,35834.0,860.0,34,0.0477568740955137,Зима,0.0014048012986607,0
2,13195991,2024-01-26 23:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,53ч)",,,"Лампы, перегорание основной нити",CSH,2024,2.0,"0,53ч",,,,,25 days 03:41:00,36221.0,387.0,35,0.0492040520984081,Зима,0.0014048012986607,0
3,13198966,2024-01-27 13:53:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Линзы, бой",CSH,2024,,,,,,,25 days 17:37:00,37057.0,836.0,36,0.0506512301013024,Зима,0.0014048012986607,0
3,13199165,2024-01-28 12:30:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,,26 days 16:14:00,38414.0,1357.0,37,0.0520984081041968,Зима,0.0014048012986607,0
3,13199170,2024-01-28 21:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,,27 days 00:44:00,38924.0,510.0,38,0.0535455861070911,Зима,0.0014048012986607,0
3,13202989,2024-01-29 12:10:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,,27 days 15:54:00,39834.0,910.0,39,0.0549927641099855,Зима,0.0014048012986607,0
1,13197971,2024-01-29 13:00:00,Горьковская,"ГОРЬК, ШЧ-10","2шт ч(к учету 1,88ч)",,,Короткое замыкание монтажа,CSH,2024,2.0,"1,88ч",,,,,27 days 16:44:00,39884.0,50.0,40,0.0564399421128798,Зима,0.0014048012986607,0
3,13199079,2024-01-29 15:44:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Светодиоды, неисправность",CSH,2024,,,,,,,27 days 19:28:00,40048.0,164.0,41,0.0578871201157742,Зима,0.0014048012986607,0
3,13202035,2024-01-29 21:52:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,28 days 01:36:00,40416.0,368.0,42,0.0593342981186685,Зима,0.0014048012986607,0
3,13200167,2024-01-29 22:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,,,,,,,28 days 01:44:00,40424.0,8.0,43,0.0607814761215629,Зима,0.0014048012986607,0
3,13201471,2024-01-30 01:45:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,,28 days 05:29:00,40649.0,225.0,44,0.0622286541244573,Зима,0.0014048012986607,0
3,13202982,2024-01-30 02:04:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,,28 days 05:48:00,40668.0,19.0,45,0.0636758321273516,Зима,0.0014048012986607,0
3,13202991,2024-01-30 02:54:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,,28 days 06:38:00,40718.0,50.0,46,0.065123010130246,Зима,0.0014048012986607,0
3,13199191,2024-01-30 08:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,,28 days 11:44:00,41024.0,306.0,47,0.0665701881331403,Зима,0.0014048012986607,0
3,13202979,2024-01-30 08:40:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,,28 days 12:24:00,41064.0,40.0,48,0.0680173661360347,Зима,0.0014048012986607,0
3,13201486,2024-01-30 10:13:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Кнопки, потеря контакта в штепсельном разъеме",CSH,2024,,,,,,,28 days 13:57:00,41157.0,93.0,49,0.0694645441389291,Зима,0.0014048012986607,0
3,13203365,2024-01-30 10:55:00,Горьковская,"ГОРЬК, ШЧ-1",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,28 days 14:39:00,41199.0,42.0,50,0.0709117221418234,Зима,0.0014048012986607,0
2,13199375,2024-01-30 13:19:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","4шт (к учету 3) ч(к учету 1,52ч)","4шт (к учету 2) ч(к учету 0,55ч)",,"Срабатывание, несоответствие номинала",CSH,2024,3.0,"1,52ч",2.0,"0,55ч",,,28 days 17:03:00,41343.0,144.0,51,0.0723589001447178,Зима,0.0014048012986607,0
2,13199579,2024-01-30 18:30:00,Горьковская,"ГОРЬК, ШЧ-8","1шт ч(к учету 0,85ч)",,,"Лампы, перегорание основной нити",CSH,2024,1.0,"0,85ч",,,,,28 days 22:14:00,41654.0,311.0,52,0.0738060781476121,Зима,0.0014048012986607,0
3,13199726,2024-01-31 00:12:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,29 days 03:56:00,41996.0,342.0,53,0.0752532561505065,Зима,0.0014048012986607,0
3,13199985,2024-01-31 05:55:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,29 days 09:39:00,42339.0,343.0,54,0.0767004341534008,Зима,0.0014048012986607,0
3,13203375,2024-01-31 16:07:00,Горьковская,"ГОРЬК, ШЧ-1",,,,Нарушение контакта штепсель/рельс,CSH,2024,,,,,,,29 days 19:51:00,42951.0,612.0,55,0.0781476121562952,Зима,0.0014048012986607,0
3,13201655,2024-01-31 19:07:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,,,,,,,29 days 22:51:00,43131.0,180.0,56,0.0795947901591895,Зима,0.0014048012986607,0
3,13202640,2024-01-31 23:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,Неисправность,CSH,2024,,,,,,,30 days 02:44:00,43364.0,233.0,57,0.0810419681620839,Зима,0.0014048012986607,0
2,13204783,2024-02-04 00:12:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","4шт ч(к учету 1,75ч)",,,"Транзистор, пробой",CSH,2024,4.0,"1,75ч",,,,,33 days 03:56:00,47756.0,4392.0,58,0.0824891461649783,Зима,0.0014048012986607,0
3,13205063,2024-02-04 07:08:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,,33 days 10:52:00,48172.0,416.0,59,0.0839363241678726,Зима,0.0014048012986607,0
2,13205652,2024-02-04 19:07:00,Горьковская,"ГОРЬК, ШЧ-3","1шт ч(к учету 0,47ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,47ч",,,,,33 days 22:51:00,48891.0,719.0,60,0.085383502170767,Зима,0.0014048012986607,0
3,13205806,2024-02-05 00:39:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Системный блок, сбой программного обеспечения",CSH,2024,,,,,,,34 days 04:23:00,49223.0,332.0,61,0.0868306801736613,Зима,0.0014048012986607,0
1,13258263,2024-02-06 14:43:00,Горьковская,"СВЕРД, ВЧДЭ-4","1шт ч(к учету 1,12ч)","4шт (к учету 2) ч(к учету 0,48ч)","12шт (к учету 10) ч(к учету 10,1)ч",Неисправность тормозного оборудования грузового вагона,CV,2024,1.0,"1,12ч",2.0,"0,48ч",10.0,"10,1ч",35 days 18:27:00,51507.0,2284.0,62,0.0882778581765557,Зима,0.0014048012986607,0
2,13209726,2024-02-07 05:37:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,"1шт ч(к учету 0,18)ч","Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,,,,,1.0,"0,18ч",36 days 09:21:00,52401.0,894.0,63,0.08972503617945,Зима,0.0014048012986607,0
3,13215191,2024-02-08 19:05:00,Горьковская,"ГОРЬК, ШЧ-14","1шт ч(к учету 0,17ч)",,,"Лампы, перегорание основной нити",CSH,2024,1.0,"0,17ч",,,,,37 days 22:49:00,54649.0,2248.0,64,0.0911722141823444,Зима,0.0014048012986607,0
