INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
109,2024-02-29 16:20:00,Зима,0.0014048012986607,0.0017066788030492663,1.214889824401763,4.304772564019925,4.1,30,
175,2024-03-30 17:12:00,Весна,0.0015916084340088,0.0021676300578034684,1.3619116432700957,4.716758996746293,4.1,30,
262,2024-04-30 04:33:00,Весна,0.0015916084340088,0.0033400133600534404,2.0985144892961616,4.80947475512084,4.1,30,
389,2024-06-30 15:14:00,Лето,0.0012283149338832,0.0014518002322880372,1.1819446236791322,4.44066344339835,4.1,30,
