arl0_target,delta_target,n_runs_mc,h_an,arl1_an,E_an,h_mc,ARL0_mc,ARL1_mc,E_mc,a,b
100,1.5,3000,1.9136237835268897,21.40411030625233,4.67199984345012,1.9136237835268897,86.96533333333333,20.457666666666668,4.250989848956381,-2.383000000000002,0.9330000000000004
150,1.5,3000,2.291922729391807,26.431877646793566,5.6749657366167625,2.291922729391807,137.35866666666666,25.26933333333333,5.435785141409878,-2.383000000000002,0.9330000000000004
200,1.5,3000,2.560330102989318,29.99913534519565,6.666858817716888,2.560330102989318,187.139,28.596,6.544236956217653,-2.383000000000002,0.9330000000000004
250,1.5,3000,2.768523036365476,32.76611538149184,7.629833353428712,2.768523036365476,244.87366666666668,31.47533333333333,7.77985936076928,-2.383000000000002,0.9330000000000004
100,2.0,3000,2.6434651450147943,13.429023700182364,7.446557712057804,2.6434651450147943,101.329,12.622333333333334,8.027755037367628,-1.6899999999999964,0.9409999999999992
150,2.0,3000,3.0250078117445764,15.391474823425876,9.745654768034282,3.0250078117445764,153.28066666666666,14.509,10.56452316952696,-1.6899999999999964,0.9409999999999992
200,2.0,3000,3.2957166419217017,16.783856054092496,11.91621277943652,3.2957166419217017,197.553,15.713,12.572583211353656,-1.6899999999999964,0.9409999999999992
250,2.0,3000,3.505694723708373,17.86387084245327,13.994727246117234,3.505694723708373,256.038,16.614333333333335,15.410669502237024,-1.6899999999999964,0.9409999999999992
100,2.5,3000,2.920409910222461,10.093924172843325,9.90694979352429,2.920409910222461,98.93333333333334,9.043,10.940322164473445,-1.5420000000000005,0.969
150,2.5,3000,3.313305599979272,11.342756705816468,13.224298456748286,3.313305599979272,147.90066666666667,10.181,14.52712569164784,-1.5420000000000005,0.969
200,2.5,3000,3.592069528185047,12.228817488967952,16.354811099309238,3.592069528185047,203.7203333333333,11.185,18.21370883623901,-1.5420000000000005,0.969
250,2.5,3000,3.8082956294085166,12.916099627015718,19.355688421378552,3.8082956294085166,254.8983333333333,11.806666666666668,21.58935629587804,-1.5420000000000005,0.969
100,3.0,3000,3.099856441896354,8.297684620333087,12.051554689720875,3.099856441896354,97.91,7.336666666666667,13.345297592003634,-1.403999999999995,0.9779999999999991
150,3.0,3000,3.496401317626137,9.214035764657536,16.279511370615474,3.496401317626137,153.88833333333332,8.209666666666667,18.744772422753663,-1.403999999999995,0.9779999999999991
200,3.0,3000,3.77775438448398,9.86419724839856,20.2753447608187,3.77775438448398,207.16566666666668,8.838,23.440333408765184,-1.403999999999995,0.9779999999999991
250,3.0,3000,3.995988777669276,10.368501674368675,24.111487643196256,3.995988777669276,253.90166666666667,9.389666666666667,27.04054102027051,-1.403999999999995,0.9779999999999991
