arl0_target,delta_target,n_runs_mc,mode,h_an,E_an,h_mc,E_mc,a,b
100,1.25,2000,analytic,1.2949258084184976,2.9325720672057187,1.2949258084184976,2.6259545461446203,-2.379999999999999,0.7980000000000003
250,1.25,2000,analytic,2.0261258124540724,4.005566624897871,2.0261258124540724,4.3481872797113645,-2.379999999999999,0.7980000000000003
500,1.25,2000,analytic,2.579257262540909,5.964352953722054,2.579257262540909,6.269295774647887,-2.379999999999999,0.7980000000000003
1000,1.25,2000,analytic,3.132388712627746,9.501220316355356,3.132388712627746,9.304242873502591,-2.379999999999999,0.7980000000000003
100,1.5,2000,analytic,1.9136237835268897,4.67199984345012,1.9136237835268897,4.239189725280174,-2.382999999999998,0.933
250,1.5,2000,analytic,2.768523036365476,7.629833353428712,2.768523036365476,8.0423487544484,-2.382999999999998,0.933
500,1.5,2000,analytic,3.415229355827905,12.088641534481638,3.415229355827905,12.164281915880338,-2.382999999999998,0.933
1000,1.5,2000,analytic,4.061935675290334,20.0175492014723,4.061935675290334,20.33026942656316,-2.382999999999998,0.933
100,2.0,2000,analytic,2.6434651450147943,7.446557712057804,2.6434651450147943,7.853119845516354,-1.6899999999999964,0.9409999999999996
250,2.0,2000,analytic,3.505694723708373,13.994727246117234,3.505694723708373,14.956849764418202,-1.6899999999999964,0.9409999999999996
500,2.0,2000,analytic,4.1579462206152815,23.56411677814944,4.1579462206152815,24.55844764630416,-1.6899999999999964,0.9409999999999996
1000,2.0,2000,analytic,4.81019771752219,40.69418492728322,4.81019771752219,42.188846454117694,-1.6899999999999964,0.9409999999999996
100,2.5,2000,analytic,2.920409910222461,9.90694979352429,2.920409910222461,10.91430454845089,-1.541999999999995,0.9689999999999994
250,2.5,2000,analytic,3.8082956294085166,19.355688421378552,3.8082956294085166,20.66047678795483,-1.541999999999995,0.9689999999999994
500,2.5,2000,analytic,4.479955247371104,33.220399603461395,4.479955247371104,34.95617299562814,-1.541999999999995,0.9689999999999994
1000,2.5,2000,analytic,5.15161486533369,58.18728140720097,5.15161486533369,62.90024429967426,-1.541999999999995,0.9689999999999994
100,3.0,2000,analytic,3.099856441896354,12.051554689720875,3.099856441896354,13.53931659118979,-1.4039999999999964,0.9779999999999994
250,3.0,2000,analytic,3.995988777669276,24.111487643196256,3.995988777669276,27.19565907887771,-1.4039999999999964,0.9779999999999994
500,3.0,2000,analytic,4.673886720256903,41.89354007711786,4.673886720256903,46.46698348042544,-1.4039999999999964,0.9779999999999994
1000,3.0,2000,analytic,5.35178466284453,74.06569680211679,5.35178466284453,80.36123261220791,-1.4039999999999964,0.9779999999999994
