CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0
3,13661466,2024-12-19 12:10:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,353 days 04:49:00,508609.0,893.0,706,0.9578804347826086,Зима,0.0013884256494186
3,13665443,2024-12-20 00:01:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Неисправность оборудования рельсовой цепи,CSH,2024,,,,,,,353 days 16:40:00,509320.0,711.0,707,0.9592391304347826,Зима,0.0013884256494186
3,13662017,2024-12-20 00:30:00,Северо-Кавказская,"С-КАВ, ШЧ-14","1шт ч(к учету 0,05ч)",,,"Нарушение контакта в штепсельных розетках, сообщение",CSH,2024,1.0,"0,05ч",,,,,353 days 17:09:00,509349.0,29.0,708,0.9605978260869564,Зима,0.0013884256494186
2,13662358,2024-12-20 07:58:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,"3шт ч(к учету 0,32ч)",,"Обрыв троса, внешнее воздействие",CSH,2024,,,3.0,"0,32ч",,,354 days 00:37:00,509797.0,448.0,709,0.9619565217391304,Зима,0.0013884256494186
3,13664813,2024-12-20 11:00:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,354 days 03:39:00,509979.0,182.0,710,0.9633152173913044,Зима,0.0013884256494186
3,13664880,2024-12-20 14:20:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,354 days 06:59:00,510179.0,200.0,711,0.9646739130434784,Зима,0.0013884256494186
3,13665417,2024-12-20 20:09:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,,,Излом планки,CSH,2024,,,,,,,354 days 12:48:00,510528.0,349.0,712,0.9660326086956522,Зима,0.0013884256494186
2,13663205,2024-12-21 04:42:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,"1шт ч(к учету 0,37ч)",,Нарушение контакта трос/штепсель,CSH,2024,,,1.0,"0,37ч",,,354 days 21:21:00,511041.0,513.0,713,0.967391304347826,Зима,0.0013884256494186
3,13665392,2024-12-21 13:38:00,Северо-Кавказская,"С-КАВ, ШЧ-15 (Р)",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,355 days 06:17:00,511577.0,536.0,714,0.96875,Зима,0.0013884256494186
3,13664501,2024-12-23 04:31:00,Северо-Кавказская,"С-КАВ, ШЧ-19",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,,356 days 21:10:00,513910.0,2333.0,715,0.970108695652174,Зима,0.0013884256494186
3,13667918,2024-12-23 08:30:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,357 days 01:09:00,514149.0,239.0,716,0.9714673913043478,Зима,0.0013884256494186
3,13665225,2024-12-23 13:20:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,,,Неисправность,CSH,2024,,,,,,,357 days 05:59:00,514439.0,290.0,717,0.9728260869565216,Зима,0.0013884256494186
3,13667227,2024-12-23 22:54:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,,"Не срабатывание (не перегорание), несоответствие номинала",CSH,2024,,,,,,,357 days 15:33:00,515013.0,574.0,718,0.9741847826086956,Зима,0.0013884256494186
3,13668717,2024-12-24 16:31:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,358 days 09:10:00,516070.0,1057.0,719,0.9755434782608696,Зима,0.0013884256494186
3,13668180,2024-12-25 10:40:00,Северо-Кавказская,"С-КАВ, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,,359 days 03:19:00,517159.0,1089.0,720,0.9769021739130436,Зима,0.0013884256494186
3,13669972,2024-12-25 16:50:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,,,,,,,359 days 09:29:00,517529.0,370.0,721,0.9782608695652174,Зима,0.0013884256494186
3,13671886,2024-12-26 06:37:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Фрикционное сцепление, нарушение регулировки усилия перевода",CSH,2024,,,,,,,359 days 23:16:00,518356.0,827.0,722,0.9796195652173914,Зима,0.0013884256494186
3,13672361,2024-12-26 11:23:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Фрикционное сцепление, разрегулировка",CSH,2024,,,,,,,360 days 04:02:00,518642.0,286.0,723,0.9809782608695652,Зима,0.0013884256494186
2,13670165,2024-12-26 15:40:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,"1шт ч(к учету 0,37ч)",,"Кнопки, потеря контакта в штепсельном разъеме",CSH,2024,,,1.0,"0,37ч",,,360 days 08:19:00,518899.0,257.0,724,0.9823369565217392,Зима,0.0013884256494186
2,13670463,2024-12-27 03:21:00,Северо-Кавказская,"С-КАВ, ШЧ-18","3шт ч(к учету 2,27ч)",,,"Срабатывание, несоответствие номинала",CSH,2024,3.0,"2,27ч",,,,,360 days 20:00:00,519600.0,701.0,725,0.9836956521739132,Зима,0.0013884256494186
2,13670508,2024-12-27 04:11:00,Северо-Кавказская,"С-КАВ, ТЧЭ-16","1шт ч(к учету 0,52ч)","3шт ч(к учету 0,53ч)",,Прочая неисправность стабилизатора крана машиниста,CT,2024,1.0,"0,52ч",3.0,"0,53ч",,,360 days 20:50:00,519650.0,50.0,726,0.9850543478260868,Зима,0.0013884256494186
