CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0
3,13436185,2024-07-05 21:55:00,Московская,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2024,,,,,,,186 days 18:05:00,268925.0,290.0,438,0.5153301886792453,Лето,0.0019494523880791
1,13436265,2024-07-05 22:03:00,Московская,"МОСК, ШЧ-4","5шт ч(к учету 6,18ч)","11шт (к учету 10) ч(к учету 3,58ч)","5шт ч(к учету 1,85)ч","Жилы, внутренний обрыв",CSH,2024,5.0,"6,18ч",10.0,"3,58ч",5.0,"1,85ч",186 days 18:13:00,268933.0,8.0,439,0.5165094339622641,Лето,0.0019494523880791
3,13436207,2024-07-05 22:41:00,Московская,"МОСК, ШЧ-8",,,,"Пробой, перекрытие предохранителя линии СЦБ",CSH,2024,,,,,,,186 days 18:51:00,268971.0,38.0,440,0.5176886792452831,Лето,0.0019494523880791
2,13436241,2024-07-05 23:35:00,Московская,"МОСК, ШЧ-6",,"5шт ч(к учету 1,72ч)","1шт ч(к учету 0,23)ч","Муфты подземные, некачественная пайка",CSH,2024,,,5.0,"1,72ч",1.0,"0,23ч",186 days 19:45:00,269025.0,54.0,441,0.5188679245283019,Лето,0.0019494523880791
2,13437352,2024-07-06 08:16:00,Московская,"МОСК, ШЧ-33",,"1шт ч(к учету 0,33ч)","1шт ч(к учету 0,17)ч",Излом наконечника,CSH,2024,,,1.0,"0,33ч",1.0,"0,17ч",187 days 04:26:00,269546.0,521.0,442,0.5200471698113207,Лето,0.0019494523880791
2,13436835,2024-07-06 10:10:00,Московская,"МОСК, ШЧ-35",,,"1шт ч(к учету 0,13)ч","Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,1.0,"0,13ч",187 days 06:20:00,269660.0,114.0,443,0.5212264150943396,Лето,0.0019494523880791
3,13437159,2024-07-06 16:05:00,Московская,"МОСК, ШЧ-28",,,,Неисправность блоков питания,CSH,2024,,,,,,,187 days 12:15:00,270015.0,355.0,444,0.5224056603773585,Лето,0.0019494523880791
2,13437238,2024-07-06 17:30:00,Московская,"МОСК, ШЧ-33",,,"3шт ч(к учету 0,97)ч","Трансформаторы, обрыв обмотки",CSH,2024,,,,,3.0,"0,97ч",187 days 13:40:00,270100.0,85.0,445,0.5235849056603774,Лето,0.0019494523880791
3,13437493,2024-07-07 02:41:00,Московская,"МОСК, ТЧЭ-5",,,,"Кассета СН-БЛОК, прочее",CT,2024,,,,,,,187 days 22:51:00,270651.0,551.0,446,0.5247641509433962,Лето,0.0019494523880791
2,13438615,2024-07-08 04:33:00,Московская,"МОСК, ШЧ-6",,"4шт ч(к учету 0,88ч)","1шт ч(к учету 0,15)ч","Обмотка, обрыв",CSH,2024,,,4.0,"0,88ч",1.0,"0,15ч",189 days 00:43:00,272203.0,1552.0,447,0.5259433962264151,Лето,0.0019494523880791
2,13439738,2024-07-08 13:21:00,Московская,"МОСК, ШЧ-24","2шт ч(к учету 0,9ч)",,,"Нарушение контакта в штепсельных розетках, сообщение",CSH,2024,2.0,"0,9ч",,,,,189 days 09:31:00,272731.0,528.0,448,0.527122641509434,Лето,0.0019494523880791
2,13440320,2024-07-08 19:18:00,Московская,"МОСК, ШЧ-32","3шт ч(к учету 1,95ч)",,"1шт ч(к учету 0,15)ч","Кнопки, механическое заедание кнопки",CSH,2024,3.0,"1,95ч",,,1.0,"0,15ч",189 days 15:28:00,273088.0,357.0,449,0.5283018867924528,Лето,0.0019494523880791
2,13440430,2024-07-08 23:11:00,Московская,"МОСК, ШЧ-5",,,"3шт ч(к учету 0,6)ч","Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,,,,,3.0,"0,6ч",189 days 19:21:00,273321.0,233.0,450,0.5294811320754716,Лето,0.0019494523880791
2,13441264,2024-07-09 10:22:00,Московская,"МОСК, ШЧ-24","1шт ч(к учету 0,28ч)",,,"Муфта, неисправность",CSH,2024,1.0,"0,28ч",,,,,190 days 06:32:00,273992.0,671.0,451,0.5306603773584906,Лето,0.0019494523880791
3,13441334,2024-07-09 10:35:00,Московская,"МОСК, ТЧЭ-36",,,,"Пробой изоляции провода, кабеля низковольтных цепей и цепей управления на корпус",CT,2024,,,,,,,190 days 06:45:00,274005.0,13.0,452,0.5318396226415094,Лето,0.0019494523880791
3,13441340,2024-07-09 10:35:00,Московская,"МОСК, ТЧЭ-36",,,,"Пробой изоляции провода, кабеля низковольтных цепей и цепей управления на корпус",CT,2024,,,,,,,190 days 06:45:00,274005.0,0.0,453,0.5330188679245284,Лето,0.0019494523880791
2,13441341,2024-07-09 11:09:00,Московская,"МОСК, ШЧ-24",,,"3шт ч(к учету 0,52)ч",Нарушение контакта трос/контактный болт,CSH,2024,,,,,3.0,"0,52ч",190 days 07:19:00,274039.0,34.0,454,0.5341981132075472,Лето,0.0019494523880791
3,13443407,2024-07-10 09:58:00,Московская,"МОСК, ШЧ-15",,,,Нарушение регулировки,CSH,2024,,,,,,,191 days 06:08:00,275408.0,1369.0,455,0.535377358490566,Лето,0.0019494523880791
2,13468503,2024-07-10 11:39:00,Московская,"МОСК, ШЧ-8",,,"1шт ч(к учету 0,35)ч",Обрыв проводов линий СЦБ,CSH,2024,,,,,1.0,"0,35ч",191 days 07:49:00,275509.0,101.0,456,0.5365566037735849,Лето,0.0019494523880791
2,13444839,2024-07-10 21:03:00,Московская,"МОСК, ШЧ-35",,,"1шт ч(к учету 0,1)ч","Контактная система, подгар контактов",CSH,2024,,,,,1.0,"0,1ч",191 days 17:13:00,276073.0,564.0,457,0.5377358490566038,Лето,0.0019494523880791
