CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13161186,2024-01-02 20:07:00,Куйбышевская,"КБШ, ШЧ-4","1шт ч(к учету 0,32ч)",,,"Срабатывание, несоответствие номинала",CSH,2024,1.0,"0,32ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,13167592,2024-01-08 00:11:00,Куйбышевская,"КБШ, ШЧ-5",,"1шт ч(к учету 0,13ч)",,"Обмотка, обрыв",CSH,2024,,,1.0,"0,13ч",,,5 days 04:04:00,7444.0,7444.0,2,0.008771929824561403
2,13208024,2024-01-08 23:26:00,Куйбышевская,"КБШ, ШЧ-16","1шт ч(к учету 0,23ч)","1шт ч(к учету 0,18ч)",,"Срабатывание, коммутационные перенапряжения",CSH,2024,1.0,"0,23ч",1.0,"0,18ч",,,6 days 03:19:00,8839.0,1395.0,3,0.017543859649122806
2,13172893,2024-01-10 21:56:00,Куйбышевская,"КБШ, ТЧЭ-12","2шт ч(к учету 1,15ч)",,,Нарушение регулировки подачи песка,CT,2024,2.0,"1,15ч",,,,,8 days 01:49:00,11629.0,2790.0,4,0.02631578947368421
3,13176511,2024-01-11 02:39:00,Куйбышевская,"Ю-ВОСТ, ВЧДЭ-5 КАЗИНКА",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,8 days 06:32:00,11912.0,283.0,5,0.03508771929824561
3,13174485,2024-01-11 04:11:00,Куйбышевская,"КБШ, ТЧЭ-9",,,,Нарушение регулировки подачи песка,CT,2024,,,,,,,8 days 08:04:00,12004.0,92.0,6,0.043859649122807015
3,13180318,2024-01-11 04:21:00,Куйбышевская,"Ю-ВОСТ, ВЧДЭ-3 СТОЙЛЕНСКАЯ",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,,,,,,,8 days 08:14:00,12014.0,10.0,7,0.05263157894736842
3,13183829,2024-01-16 00:30:00,Куйбышевская,"С-КАВ, ВЧДЗ-13 КРАСНОДАР",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,13 days 04:23:00,18983.0,6969.0,8,0.06140350877192982
3,13182687,2024-01-16 15:03:00,Куйбышевская,"КБШ, ТЧЭ-12",,,,Повреждение изоляции выводного кабеля выводной коробки тягового двигателя постоянного тока,CT,2024,,,,,,,13 days 18:56:00,19856.0,873.0,9,0.07017543859649122
3,13185301,2024-01-17 19:33:00,Куйбышевская,"Ю-ВОСТ, ВЧДЭ-6 КОЧЕТОВКА",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,14 days 23:26:00,21566.0,1710.0,10,0.07894736842105263
3,13185216,2024-01-18 11:22:00,Куйбышевская,"КБШ, ТЧЭ-14",,,,Ошибка проекта,CT,2024,,,,,,,15 days 15:15:00,22515.0,949.0,11,0.08771929824561403
2,13215458,2024-01-18 16:28:00,Куйбышевская,"КБШ, ШЧ-13","2шт ч(к учету 1,43ч)",,,"Счетчики, механические повреждения",CSH,2024,2.0,"1,43ч",,,,,15 days 20:21:00,22821.0,306.0,12,0.09649122807017543
3,13185648,2024-01-18 23:59:00,Куйбышевская,"КБШ, ТЧЭ-14",,,,Прочая неисправность корпуса буксы локомотива,CT,2024,,,,,,,16 days 03:52:00,23272.0,451.0,13,0.10526315789473684
3,13195026,2024-01-23 13:14:00,Куйбышевская,"СЕВ, ВЧДЭ-7 ЛОСТА",,,,Прокат колеса грузового вагона по кругу катания выше нормы,CV,2024,,,,,,,20 days 17:07:00,29827.0,6555.0,14,0.11403508771929824
3,13200151,2024-01-28 19:00:00,Куйбышевская,"З-СИБ, ВЧДЭ-23 БЕЛОВО",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,25 days 22:53:00,37373.0,7546.0,15,0.12280701754385964
3,13225446,2024-02-11 23:40:00,Куйбышевская,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,,,,,,,40 days 03:33:00,57813.0,20440.0,16,0.13157894736842105
2,13229832,2024-02-20 12:00:00,Куйбышевская,"КБШ, ШЧ-2",,"1шт ч(к учету 0,1ч)",,"Обмотка, обрыв",CSH,2024,,,1.0,"0,1ч",,,48 days 15:53:00,70073.0,12260.0,17,0.14035087719298245
2,13242664,2024-02-29 06:40:00,Куйбышевская,"КБШ, ШЧ-1",,"1шт ч(к учету 0,1ч)",,Неисправность резьбовых соединений,CSH,2024,,,1.0,"0,1ч",,,57 days 10:33:00,82713.0,12640.0,18,0.14912280701754385
2,13242629,2024-02-29 16:30:00,Куйбышевская,"КБШ, ШЧ-4","1шт ч(к учету 0,5ч)",,,"Срабатывание, атмосферные перенапряжения",CSH,2024,1.0,"0,5ч",,,,,57 days 20:23:00,83303.0,590.0,19,0.15789473684210525
3,13242754,2024-02-29 20:17:00,Куйбышевская,"КБШ, ШЧ-13",,,,"Кнопки, нарушение регулировки контакта при работе внутри пульта",CSH,2024,,,,,,,58 days 00:10:00,83530.0,227.0,20,0.16666666666666666
