delta,arl0_target,h_analytic,arl1_analytic,eff_analytic,arl0_mc,arl1_mc,eff_mc,h_mc
1.25,100,1.2949258084184976,34.09975874703203,2.9325720672057187,84.096,33.296,2.525708793849111,1.8949258084184972
1.25,250,2.0261258124540724,62.4131423619434,4.005566624897871,256.602,59.21,4.333761188988346,2.6261258124540734
1.25,500,2.579257262540909,83.8313902412457,5.964352953722054,481.234,78.232,6.1513702832600465,3.17925726254091
1.25,1000,3.132388712627746,105.24963812054803,9.501220316355356,961.87,104.888,9.170448478376935,3.732388712627747
1.5,100,1.9136237835268899,21.404110306252335,4.67199984345012,82.492,19.616,4.205342577487765,2.513623783526891
1.5,250,2.768523036365476,32.76611538149184,7.629833353428712,265.934,31.278,8.502269966110367,3.368523036365477
1.5,500,3.415229355827905,41.36114042043518,12.088641534481638,514.788,38.192,13.478948470883955,3.915229355827906
1.5,1000,4.061935675290334,49.9561654593785,20.0175492014723,992.11,50.284,19.730132845437915,4.561935675290335
2.0,100,2.6434651450147943,13.429023700182363,7.446557712057804,106.582,12.566,8.481776221550215,3.2434651450147953
2.0,250,3.505694723708373,17.86387084245327,13.994727246117234,255.526,17.846,14.318390675781687,4.105694723708374
2.0,500,4.1579462206152815,21.218703196363407,23.564116778149433,481.69,19.98,24.10860860860861,4.657946220615282
2.0,1000,4.81019771752219,24.57353555027354,40.694184927283224,1034.992,22.534,45.93023875033283,5.310197717522186
2.5,100,2.920409910222461,10.093924172843323,9.90694979352429,99.428,9.218,10.786287697982209,3.520409910222462
2.5,250,3.8082956294085166,12.916099627015718,19.355688421378552,237.98,11.658,20.413449991422198,4.3082956294085175
2.5,500,4.4799552473711035,15.05099294314035,33.220399603461395,527.95,13.996,37.72149185481566,4.979955247371104
2.5,1000,5.15161486533369,17.185886259264983,58.18728140720097,1087.508,16.158,67.30461690803317,5.651614865333687
3.0,100,3.099856441896354,8.297684620333087,12.051554689720877,98.614,7.51,13.131025299600534,3.699856441896355
3.0,250,3.995988777669276,10.368501674368675,24.111487643196256,265.638,9.178,28.94290695140553,4.495988777669277
3.0,500,4.673886720256903,11.935014302434151,41.89354007711786,526.726,10.916,48.252656650787834,5.1738867202569
3.0,1000,5.35178466284453,13.501526930499628,74.06569680211679,1039.118,12.152,85.51003949967084,5.851784662844526
