CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2024-01-23 09:40:00,Октябрьская,CSH,2024
3,2024-01-23 09:40:00,Октябрьская,CSH,2024
3,2024-01-23 12:13:00,Октябрьская,CSH,2024
3,2024-01-23 18:20:00,Октябрьская,CSH,2024
2,2024-01-23 20:05:00,Октябрьская,CSH,2024
2,2024-01-24 00:02:00,Октябрьская,CSH,2024
2,2024-01-25 06:40:00,Октябрьская,CSH,2024
3,2024-01-25 09:02:00,Октябрьская,CSH,2024
3,2024-01-25 11:47:00,Октябрьская,CSH,2024
3,2024-01-25 11:49:00,Октябрьская,CSH,2024
3,2024-01-25 11:51:00,Октябрьская,CSH,2024
3,2024-01-25 11:53:00,Октябрьская,CSH,2024
3,2024-01-25 14:10:00,Октябрьская,CSH,2024
3,2024-01-26 08:00:00,Октябрьская,CSH,2024
3,2024-01-26 08:00:00,Октябрьская,CSH,2024
3,2024-01-26 08:00:00,Октябрьская,CSH,2024
3,2024-01-26 12:30:00,Октябрьская,CSH,2024
2,2024-01-26 15:37:00,Октябрьская,CSH,2024
3,2024-01-27 04:06:00,Октябрьская,CSH,2024
3,2024-01-27 04:45:00,Октябрьская,CSH,2024
2,2024-01-28 23:54:00,Октябрьская,CSH,2024
2,2024-01-29 10:55:00,Октябрьская,CSH,2024
3,2024-01-30 05:25:00,Октябрьская,CSH,2024
3,2024-01-30 09:05:00,Октябрьская,CSH,2024
3,2024-01-30 09:34:00,Октябрьская,CSH,2024
2,2024-01-31 01:26:00,Октябрьская,CSH,2024
3,2024-01-31 04:33:00,Октябрьская,CSH,2024
3,2024-01-31 12:35:00,Октябрьская,CSH,2024
3,2024-01-31 15:59:00,Октябрьская,CSH,2024
2,2024-01-02 07:27:00,Октябрьская,CSH,2024
3,2024-01-02 15:45:00,Октябрьская,CSH,2024
2,2024-01-02 17:27:00,Октябрьская,CSH,2024
3,2024-01-02 21:40:00,Октябрьская,CSH,2024
3,2024-02-02 08:39:00,Октябрьская,CSH,2024
3,2024-02-02 10:00:00,Октябрьская,CSH,2024
3,2024-02-02 10:00:00,Октябрьская,CSH,2024
2,2024-02-02 13:20:00,Октябрьская,CSH,2024
3,2024-03-02 22:40:00,Октябрьская,CSH,2024
3,2024-04-02 11:00:00,Октябрьская,CSH,2024
2,2024-04-02 13:15:00,Октябрьская,CSH,2024
2,2024-04-02 21:28:00,Октябрьская,CSH,2024
2,2024-05-02 14:35:00,Октябрьская,CSH,2024
3,2024-05-02 15:17:00,Октябрьская,CSH,2024
2,2024-05-02 20:15:00,Октябрьская,CSH,2024
3,2024-06-02 00:26:00,Октябрьская,CSH,2024
3,2024-06-02 01:20:00,Октябрьская,CSH,2024
3,2024-06-02 11:50:00,Октябрьская,CSH,2024
3,2024-06-02 12:10:00,Октябрьская,CSH,2024
3,2024-06-02 16:30:00,Октябрьская,CSH,2024
2,2024-06-02 17:07:00,Октябрьская,CSH,2024
3,2024-06-02 17:39:00,Октябрьская,CSH,2024
3,2024-06-02 21:38:00,Октябрьская,CSH,2024
3,2024-07-02 00:12:00,Октябрьская,CSH,2024
2,2024-07-02 03:33:00,Октябрьская,CSH,2024
3,2024-07-02 10:57:00,Октябрьская,CSH,2024
3,2024-08-02 05:36:00,Октябрьская,CSH,2024
2,2024-08-02 06:30:00,Октябрьская,CSH,2024
3,2024-08-02 07:00:00,Октябрьская,CSH,2024
2,2024-08-02 07:58:00,Октябрьская,CSH,2024
3,2024-08-02 10:20:00,Октябрьская,CSH,2024
3,2024-08-02 18:20:00,Октябрьская,CSH,2024
2,2024-08-02 22:25:00,Октябрьская,CSH,2024
2,2024-09-02 05:31:00,Октябрьская,CSH,2024
3,2024-10-02 06:37:00,Октябрьская,CSH,2024
3,2024-10-02 09:17:00,Октябрьская,CSH,2024
2,2024-10-02 11:12:00,Октябрьская,CSH,2024
3,2024-10-02 13:05:00,Октябрьская,CSH,2024
3,2024-10-02 13:15:00,Октябрьская,CSH,2024
1,2024-10-02 18:01:00,Октябрьская,CSH,2024
2,2024-10-02 19:34:00,Октябрьская,CSH,2024
2,2024-11-02 07:10:00,Октябрьская,CSH,2024
3,2024-11-02 11:25:00,Октябрьская,CSH,2024
2,2024-11-02 17:58:00,Октябрьская,CSH,2024
2,2024-12-02 03:05:00,Октябрьская,CSH,2024
2,2024-12-02 05:10:00,Октябрьская,CSH,2024
2,2024-12-02 05:33:00,Октябрьская,CSH,2024
3,2024-02-13 08:14:00,Октябрьская,CSH,2024
3,2024-02-13 19:45:00,Октябрьская,CSH,2024
