CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
1,2024-01-25 21:42:00,Октябрьская,CT,2024
1,2024-01-26 01:16:00,Забайкальская,CT,2024
1,2024-01-29 04:00:00,Свердловская,CT,2024
1,2024-07-02 07:40:00,Октябрьская,CT,2024
1,2024-08-02 16:24:00,Свердловская,CT,2024
1,2024-10-02 03:49:00,Забайкальская,CT,2024
1,2024-11-02 19:46:00,Западно-Сибирская,CT,2024
1,2024-12-02 14:35:00,Октябрьская,CT,2024
1,2024-12-02 16:47:00,Южно-Уральская,CT,2024
1,2024-02-13 05:01:00,Северо-Кавказская,CT,2024
1,2024-02-18 00:58:00,Северо-Кавказская,CT,2024
1,2024-02-18 04:26:00,Октябрьская,CT,2024
1,2024-02-20 21:16:00,Московская,CT,2024
1,2024-02-28 00:00:00,Восточно-Сибирская,CT,2024
1,2024-01-03 00:10:00,Октябрьская,CT,2024
1,2024-01-03 01:01:00,Дальневосточная,CT,2024
1,2024-07-03 03:03:00,Западно-Сибирская,CT,2024
1,2024-03-14 14:49:00,Свердловская,CT,2024
1,2024-03-15 07:04:00,Октябрьская,CT,2024
1,2024-03-16 09:51:00,Октябрьская,CT,2024
1,2024-03-17 00:50:00,Южно-Уральская,CT,2024
1,2024-03-27 08:24:00,Северо-Кавказская,CT,2024
1,2024-03-29 16:26:00,Северо-Кавказская,CT,2024
1,2024-03-30 03:35:00,Октябрьская,CT,2024
1,2024-08-04 14:49:00,Красноярская,CT,2024
1,2024-10-04 22:30:00,Восточно-Сибирская,CT,2024
1,2024-05-05 22:52:00,Октябрьская,CT,2024
1,2024-09-05 23:46:00,Восточно-Сибирская,CT,2024
1,2024-05-25 13:27:00,Западно-Сибирская,CT,2024
1,2024-01-06 12:22:00,Октябрьская,CT,2024
1,2024-01-06 21:06:00,Восточно-Сибирская,CT,2024
1,2024-02-06 02:00:00,Октябрьская,CT,2024
1,2024-11-06 06:48:00,Забайкальская,CT,2024
1,2024-06-21 17:04:00,Северо-Кавказская,CT,2024
1,2024-06-30 06:56:00,Дальневосточная,CT,2024
1,2024-02-07 00:07:00,Октябрьская,CT,2024
1,2024-02-07 00:42:00,Октябрьская,CT,2024
1,2024-02-07 17:02:00,Октябрьская,CT,2024
1,2024-03-07 23:31:00,Московская,CT,2024
1,2024-04-07 15:07:00,Октябрьская,CT,2024
1,2024-04-07 19:11:00,Октябрьская,CT,2024
1,2024-05-07 02:40:00,Октябрьская,CT,2024
1,2024-05-07 21:25:00,Восточно-Сибирская,CT,2024
1,2024-10-07 12:03:00,Южно-Уральская,CT,2024
1,2024-10-07 23:17:00,Забайкальская,CT,2024
1,2024-07-16 11:42:00,Дальневосточная,CT,2024
1,2024-07-23 08:42:00,Октябрьская,CT,2024
1,2024-07-28 05:03:00,Горьковская,CT,2024
1,2024-01-08 00:10:00,Октябрьская,CT,2024
1,2024-03-08 04:42:00,Московская,CT,2024
1,2024-11-08 20:00:00,Московская,CT,2024
1,2024-08-15 12:31:00,Дальневосточная,CT,2024
1,2024-08-20 16:50:00,Западно-Сибирская,CT,2024
1,2024-08-20 19:14:00,Северо-Кавказская,CT,2024
1,2024-08-29 04:07:00,Московская,CT,2024
1,2024-01-09 08:00:00,Октябрьская,CT,2024
1,2024-09-09 14:42:00,Куйбышевская,CT,2024
1,2024-11-09 22:37:00,Восточно-Сибирская,CT,2024
1,2024-09-17 09:09:00,Восточно-Сибирская,CT,2024
1,2024-09-21 12:23:00,Восточно-Сибирская,CT,2024
1,2024-01-10 17:00:00,Свердловская,CT,2024
1,2024-04-10 12:12:00,Дальневосточная,CT,2024
1,2024-08-10 14:28:00,Западно-Сибирская,CT,2024
1,2024-10-18 16:00:00,Восточно-Сибирская,CT,2024
1,2024-01-11 00:30:00,Восточно-Сибирская,CT,2024
1,2024-12-11 19:31:00,Южно-Уральская,CT,2024
1,2024-11-14 15:49:00,Южно-Уральская,CT,2024
1,2024-11-21 19:07:00,Восточно-Сибирская,CT,2024
1,2024-11-21 23:10:00,Восточно-Сибирская,CT,2024
1,2024-11-22 01:07:00,Восточно-Сибирская,CT,2024
1,2024-11-24 19:18:00,Восточно-Сибирская,CT,2024
1,2024-11-28 10:53:00,Забайкальская,CT,2024
1,2024-11-28 21:22:00,Западно-Сибирская,CT,2024
1,2024-03-12 23:15:00,Октябрьская,CT,2024
1,2024-04-12 19:05:00,Дальневосточная,CT,2024
1,2024-06-12 10:38:00,Забайкальская,CT,2024
1,2024-09-12 01:53:00,Октябрьская,CT,2024
1,2024-11-12 07:07:00,Октябрьская,CT,2024
1,2024-12-12 11:16:00,Октябрьская,CT,2024
1,2024-12-12 12:57:00,Красноярская,CT,2024
1,2024-12-20 23:10:00,Забайкальская,CT,2024
1,2024-12-21 00:10:00,Свердловская,CT,2024
1,2024-12-23 05:29:00,Свердловская,CT,2024
1,2024-12-23 09:48:00,Октябрьская,CT,2024
1,2024-12-26 04:58:00,Восточно-Сибирская,CT,2024
