CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2023-02-10 05:45:00,Московская,CT,2023
2,2023-06-10 23:37:00,Восточно-Сибирская,CT,2023
2,2023-08-10 14:48:00,Красноярская,CT,2023
2,2023-09-10 20:08:00,Свердловская,CT,2023
2,2023-11-10 02:27:00,Октябрьская,CT,2023
2,2023-11-10 21:01:00,Октябрьская,CT,2023
2,2023-10-14 18:20:00,Октябрьская,CT,2023
2,2023-10-16 12:30:00,Московская,CT,2023
2,2023-10-16 20:40:00,Северо-Кавказская,CT,2023
2,2023-10-17 21:24:00,Красноярская,CT,2023
2,2023-10-22 07:51:00,Московская,CT,2023
2,2023-10-24 00:20:00,Московская,CT,2023
2,2023-10-28 12:41:00,Октябрьская,CT,2023
