,Seconds_start_point,Date_start_point,Seconds_last_point,Date_last_point,Equations_of_line,Monthly_index
0,0.0,2023-01-01 06:41:00,61511.0,2023-01-01 07:40:00,Line 1: y = 0.00000272x + (0.00000000),0.11907
1,61511.0,2023-01-01 07:40:00,120461.0,2023-01-01 13:10:00,Line 2: y = 0.00000284x + (-0.00726482),0.12425
2,120461.0,2023-01-01 13:10:00,204764.0,2023-01-01 16:42:00,Line 3: y = 0.00000198x + (0.09550079),0.08688
3,204764.0,2023-01-01 16:42:00,287836.0,2023-01-01 19:55:00,Line 4: y = 0.00000201x + (0.08948195),0.08817
4,287836.0,2023-01-01 19:55:00,357164.0,2023-01-01 22:55:00,Line 5: y = 0.00000241x + (-0.02538464),0.10565
5,357164.0,2023-01-01 22:55:00,436706.0,2023-01-02 14:41:00,Line 6: y = 0.00000204x + (0.10776772),0.08932
