CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12663683,2023-01-11 09:55:00,Московская,"МОСК, ТЧЭ-36",,,,"Сгорание плавкой вставки предохранителя, панели предохранителей",CT,2023,,,,,,
3,12699217,2023-01-11 13:10:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12668868,2023-01-12 18:01:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-12",,,,"Сдвиг, проворот бандажа колесной пары локомотива, МВПС",CT,2023,,,,,,
3,12668712,2023-01-12 21:30:00,Северо-Кавказская,"С-КАВ, ТЧЭ-12",,,,Неисправность электронного регулятора,CT,2023,,,,,,
1,12669095,2023-01-13 05:25:00,Красноярская,"КРАС, ТЧЭ-3","7шт 5,93ч",,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,7.0,"5,93ч",,,,
2,12699223,2023-01-13 05:38:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2","1шт 0,25ч",,,Повышенный вибрации корпуса тягового агрегата,CT,2023,1.0,"0,25ч",,,,
3,12669886,2023-01-13 11:00:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,"Выщербина, выбоина поверхности катания",CT,2023,,,,,,
3,12670967,2023-01-13 20:00:00,Красноярская,"КРАС, ТЧЭ-1",,,,Разрегулировка регулировочных шпилек теплового реле,CT,2023,,,,,,
3,12671375,2023-01-14 14:03:00,Московская,"МОСК, ТЧЭ-27",,,,Срабатывание при воздействии атмосферных явлений,CT,2023,,,,,,
3,12672783,2023-01-14 14:30:00,Свердловская,"СВЕРД, ТЧЭ-17",,,,"Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2023,,,,,,
3,12699228,2023-01-14 15:22:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12671630,2023-01-14 22:10:00,Московская,"МОСК, ТЧЭ-36",,,,"Пробой изоляции провода, кабеля низковольтных цепей и цепей управления на корпус",CT,2023,,,,,,
3,12671856,2023-01-15 07:50:00,Свердловская,"СВЕРД, ТЧЭ-9",,,,Отгорание электрического соединителя контактного медного провода,CT,2023,,,,,,
3,12672098,2023-01-15 13:45:00,Красноярская,"КРАС, ТЧЭ-7",,,,"Прочая неисправность провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,
3,12672257,2023-01-15 18:50:00,Западно-Сибирская,"З-СИБ, ТЧЭ-10",,,,Подгар контактов кнопочного выключателя,CT,2023,,,,,,
3,12699230,2023-01-17 05:02:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-1",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
2,12673859,2023-01-17 05:48:00,Московская,"МОСК, ТЧЭ-18",,,"3шт 0,88ч",Прочая неисправность трубопровода системы циркуляции воды,CT,2023,,,,,3.0,"0,88ч"
