ROAD,CATEGORY,SEASON,YEAR,N,LAMBDA_MLE,LAMBDA_FITTER,LAMBDA_MONTH,KS_PVALUE,KS_OK
Северная,3,Весна,2024,52,0.0004087439769216862,0.00042309789020609747,18.27782885690341,0.669913901612267,True
Северная,3,Лето,2024,48,0.00037234413907053594,0.00037471603550434435,16.187732733787676,0.8917402077613749,True
Северная,3,Осень,2024,55,0.00042859591976684384,0.0004289636238846946,18.531228551818806,0.42355397168037257,True
Северная,3,Зима,2024,48,9.158103204191359e-05,9.230804733864361e-05,3.987707645029404,3.1160008641463604e-14,False
