ID, START_TIME
1, 01-01-2023 19:38
2, 02-01-2023 10:56
3, 02-01-2023 12:44
4, 03-01-2023 0:10
5, 03-01-2023 5:29
6, 04-01-2023 10:34
7, 05-01-2023 10:07
8, 05-01-2023 17:01
9, 06-01-2023 2:32
10, 07-01-2023 23:59
11, 10-01-2023 7:25
12, 11-01-2023 12:01
13, 11-01-2023 17:38
14, 14-01-2023 18:12
15, 15-01-2023 18:34
16, 17-01-2023 17:50
17, 18-01-2023 2:31
18, 19-01-2023 21:10
19, 19-01-2023 21:19
20, 22-01-2023 19:50
21, 22-01-2023 22:46
22, 25-01-2023 7:20
23, 25-01-2023 12:51
24, 31-01-2023 0:04
25, 01-02-2023 16:10
26, 01-02-2023 18:09
27, 05-02-2023 17:19
28, 06-02-2023 20:57
29, 07-02-2023 8:19
30, 08-02-2023 22:42
31, 12-02-2023 5:21
32, 14-02-2023 11:10
33, 15-02-2023 1:49
34, 15-02-2023 13:09
35, 16-02-2023 23:00
36, 18-02-2023 8:34
37, 18-02-2023 10:40
38, 21-02-2023 18:20
39, 21-02-2023 18:57
40, 22-02-2023 1:56
41, 23-02-2023 11:08
42, 23-02-2023 16:05
43, 23-02-2023 16:22
44, 23-02-2023 21:08
45, 24-02-2023 9:14
46, 25-02-2023 4:28
47, 25-02-2023 23:30
48, 26-02-2023 1:16
49, 27-02-2023 0:10
50, 27-02-2023 12:32
51, 28-02-2023 11:15
52, 28-02-2023 15:15
53, 04-03-2023 7:30
54, 04-03-2023 22:25
55, 11-03-2023 9:37
56, 11-03-2023 22:30
57, 12-03-2023 10:26
58, 13-03-2023 0:12
59, 13-03-2023 21:28
60, 16-03-2023 13:54
61, 16-03-2023 23:25
62, 17-03-2023 1:50
63, 17-03-2023 3:59
64, 18-03-2023 0:12
65, 18-03-2023 16:07
66, 19-03-2023 11:29
67, 20-03-2023 14:18
68, 21-03-2023 14:33
69, 23-03-2023 1:58
70, 26-03-2023 2:16
71, 26-03-2023 2:29
72, 26-03-2023 3:01
73, 26-03-2023 11:37
74, 29-03-2023 5:26
75, 30-03-2023 21:15
76, 01-04-2023 15:10
77, 04-04-2023 16:12
78, 05-04-2023 21:03
79, 06-04-2023 3:20
80, 08-04-2023 12:46
81, 11-04-2023 0:50
82, 14-04-2023 3:35
83, 14-04-2023 4:37
84, 16-04-2023 5:46
85, 16-04-2023 11:13
86, 16-04-2023 12:56
