iter	Passed	Remaining
449	1105	6266
450	1108	6266
451	1111	6265
452	1114	6264
453	1116	6263
454	1119	6262
455	1122	6260
456	1124	6258
457	1127	6258
458	1130	6256
459	1132	6254
460	1135	6254
461	1138	6252
462	1140	6251
463	1143	6250
464	1146	6248
465	1148	6246
466	1151	6245
467	1154	6244
468	1156	6243
469	1159	6243
470	1163	6245
471	1165	6243
472	1168	6243
473	1170	6236
474	1173	6236
475	1175	6235
476	1178	6234
477	1181	6232
478	1183	6231
479	1186	6230
480	1189	6230
481	1192	6230
482	1194	6224
483	1196	6222
484	1199	6221
485	1202	6219
486	1204	6217
487	1207	6217
488	1210	6215
489	1213	6214
490	1216	6214
491	1218	6212
492	1221	6210
493	1223	6209
494	1226	6208
495	1229	6206
496	1232	6206
497	1235	6205
498	1237	6204
499	1240	6202
500	1243	6201
501	1245	6199
502	1248	6198
503	1251	6196
504	1254	6195
505	1256	6193
506	1259	6192
507	1262	6190
508	1264	6189
509	1267	6187
510	1269	6185
511	1272	6185
512	1275	6184
513	1278	6182
514	1280	6180
515	1283	6179
516	1286	6178
517	1289	6177
518	1292	6177
519	1294	6176
520	1297	6175
521	1300	6175
522	1303	6174
523	1306	6174
524	1309	6173
525	1312	6171
526	1314	6170
527	1317	6168
528	1320	6166
529	1322	6165
530	1325	6163
531	1328	6162
532	1329	6152
533	1331	6150
534	1334	6149
535	1337	6147
536	1339	6145
537	1340	6136
538	1343	6134
539	1346	6132
540	1348	6130
541	1350	6122
542	1352	6120
543	1355	6118
544	1358	6117
545	1360	6115
546	1363	6113
547	1365	6111
548	1367	6103
549	1369	6101
550	1372	6100
551	1375	6098
552	1377	6096
553	1380	6095
554	1382	6089
555	1384	6087
556	1388	6087
557	1390	6087
558	1393	6085
559	1396	6083
560	1398	6080
561	1401	6079
562	1404	6077
563	1406	6076
564	1409	6074
565	1412	6073
566	1414	6071
567	1416	6063
568	1418	6061
569	1421	6059
570	1424	6058
571	1425	6052
572	1428	6051
573	1431	6049
574	1432	6041
575	1435	6039
576	1437	6038
577	1439	6030
578	1441	6028
579	1444	6027
580	1447	6025
581	1449	6023
582	1452	6021
583	1454	6019
584	1457	6017
585	1460	6015
586	1462	6013
587	1464	6008
588	1467	6005
589	1468	6000
590	1471	5998
591	1474	5995
592	1476	5994
593	1479	5992
594	1482	5991
595	1484	5989
596	1487	5987
597	1490	5987
598	1494	5988
599	1498	5994
600	1499	5986
601	1502	5984
602	1505	5983
603	1507	5981
604	1510	5978
605	1512	5976
606	1515	5975
607	1518	5974
608	1521	5972
609	1523	5970
610	1526	5969
611	1529	5967
612	1531	5965
613	1534	5963
614	1537	5961
615	1540	5960
616	1542	5958
617	1545	5956
618	1547	5954
619	1550	5952
620	1553	5950
621	1556	5949
622	1558	5947
623	1561	5945
624	1564	5943
625	1566	5941
626	1569	5939
627	1571	5937
628	1574	5935
629	1577	5935
630	1580	5934
631	1583	5932
632	1585	5929
633	1588	5928
634	1591	5926
635	1592	5920
636	1595	5918
637	1598	5917
638	1600	5915
639	1603	5913
640	1605	5908
641	1608	5906
642	1610	5904
643	1612	5899
644	1615	5897
645	1617	5892
646	1619	5891
647	1621	5885
648	1624	5884
649	1626	5881
650	1629	5879
651	1632	5877
652	1634	5876
653	1637	5874
654	1640	5872
655	1643	5870
656	1645	5868
657	1648	5866
658	1650	5864
659	1653	5862
660	1656	5861
661	1659	5859
662	1661	5857
663	1664	5855
664	1666	5853
665	1669	5851
666	1672	5849
667	1675	5847
668	1678	5847
669	1680	5845
670	1683	5843
671	1686	5841
672	1687	5836
673	1689	5830
674	1692	5828
675	1695	5827
676	1696	5822
677	1698	5817
678	1700	5812
679	1701	5806
680	1704	5804
681	1706	5799
682	1709	5798
683	1711	5795
684	1714	5794
685	1717	5792
686	1720	5791
687	1722	5789
688	1725	5787
689	1727	5784
690	1730	5782
691	1733	5781
692	1735	5776
693	1736	5771
694	1738	5765
695	1740	5760
696	1741	5755
697	1743	5750
698	1745	5745
699	1748	5743
700	1750	5741
701	1753	5739
702	1755	5737
703	1758	5735
704	1761	5733
705	1763	5731
706	1766	5729
707	1769	5727
708	1771	5725
709	1774	5723
710	1777	5721
711	1779	5719
712	1782	5717
713	1785	5715
714	1787	5713
715	1789	5709
