FILE_NAME,ENTITY_TYPE,ENTITY_NAME,YEAR,SEASON,SEASON_INDEX,N,TIME_DIFF_MEAN,LAMBDA_MLE,LAMBDA_FITTER,LAMBDA_MONTH,KS_STAT,KS_PVALUE,KS_OK,KS_ALPHA
CV_2024.csv,department,CV,2024,Зима,1,378,343.65343915343914,0.0029099083147935737,0.0029184005929448827,126.07490561521894,0.04437664298993946,0.43365704852945564,True,0.05
CV_2024.csv,department,CV,2024,Весна,2,410,322.61951219512196,0.003099626532803121,0.003118961766093082,134.73914829522116,0.041531234645794946,0.46676759910014,True,0.05
CV_2024.csv,department,CV,2024,Лето,3,358,370.9050279329609,0.002696107964815038,0.002703396613957984,116.78673372298492,0.0397076854558005,0.6105009183807282,True,0.05
CV_2024.csv,department,CV,2024,Осень,4,304,430.05263157894734,0.0023252967812997186,0.0023307163886162907,100.68694798822375,0.04356916630638008,0.5953182550223324,True,0.05
