indicator,road,date,forecast,lower_95,upper_95
loss_total,Окт,2026-01-01,2780.091757393934,475.8740274519091,5084.309487335959
loss_total,Окт,2026-02-01,3845.824310136998,1541.606580194973,6150.042040079023
loss_total,Окт,2026-03-01,4655.886114410338,2351.6683844683134,6960.103844352363
loss_total,Окт,2026-04-01,6557.8578760975815,4253.640146155556,8862.075606039607
loss_total,Окт,2026-05-01,5440.500547328347,3136.282817386322,7744.718277270373
loss_total,Окт,2026-06-01,3486.048064098603,1181.830334156578,5790.265794040628
loss_total,Окт,2026-07-01,2716.1300526286823,411.91232268665726,5020.347782570707
loss_total,Окт,2026-08-01,1375.214138233999,-929.0035917080261,3679.431868176024
loss_total,Окт,2026-09-01,749.8744660917832,-1554.3432638502418,3054.0921960338082
loss_total,Окт,2026-10-01,561.6980907057746,-1742.5196392362504,2865.9158206477996
loss_total,Окт,2026-11-01,1197.8521861838453,-1106.3655437581797,3502.0699161258703
loss_total,Окт,2026-12-01,952.4240847152123,-1351.7936452268127,3256.6418146572373
loss_total,Клнг,2026-01-01,387.76979285692323,-30.273950946573393,805.8135366604199
loss_total,Клнг,2026-02-01,948.1609375041623,530.1171937006657,1366.204681307659
loss_total,Клнг,2026-03-01,983.2692560209632,565.2255122174665,1401.31299982446
loss_total,Клнг,2026-04-01,1153.6861832246757,735.642439421179,1571.7299270281724
loss_total,Клнг,2026-05-01,877.279215020815,459.2354712173183,1295.3229588243116
loss_total,Клнг,2026-06-01,614.5650668491091,196.52132304561252,1032.6088106526058
loss_total,Клнг,2026-07-01,352.92417793993155,-65.11956586356507,770.9679217434282
loss_total,Клнг,2026-08-01,111.36268158035608,-306.68106222314054,529.4064253838527
loss_total,Клнг,2026-09-01,106.32752220965847,-311.71622159383816,524.371266013155
loss_total,Клнг,2026-10-01,79.48253741421217,-338.56120638928445,497.5262812177088
loss_total,Клнг,2026-11-01,87.32467880494107,-330.71906499855555,505.3684226084377
loss_total,Клнг,2026-12-01,211.75762384940862,-206.286119954088,629.8013676529052
loss_total,Заб,2026-01-01,4073.93914938929,13.735758524320318,8134.142540254259
loss_total,Заб,2026-02-01,4856.081091289663,795.8777004246936,8916.284482154633
loss_total,Заб,2026-03-01,8558.499331839723,4498.295940974753,12618.702722704693
loss_total,Заб,2026-04-01,7043.669900200102,2983.4665093351327,11103.873291065072
loss_total,Заб,2026-05-01,7932.609049840784,3872.4056589758143,11992.812440705753
loss_total,Заб,2026-06-01,5642.168439742068,1581.965048877098,9702.371830607037
loss_total,Заб,2026-07-01,5375.33551353552,1315.13212267055,9435.53890440049
loss_total,Заб,2026-08-01,160.3818484733997,-3899.82154239157,4220.585239338369
loss_total,Заб,2026-09-01,488.0005837602821,-3572.2028071046875,4548.203974625252
loss_total,Заб,2026-10-01,671.6290240548942,-3388.5743668100754,4731.832414919863
loss_total,Заб,2026-11-01,-78.1659489767012,-4138.369339841671,3982.0374418882684
loss_total,Заб,2026-12-01,1603.4961963317887,-2456.707194533181,5663.699587196758
loss_total,Двост,2026-01-01,4974.855387073816,-507.1707125891089,10456.88148673674
loss_total,Двост,2026-02-01,6367.51061813035,885.484518467425,11849.536717793275
loss_total,Двост,2026-03-01,6851.764927293743,1369.7388276308184,12333.791026956667
loss_total,Двост,2026-04-01,9552.832156554614,4070.806056891689,15034.85825621754
loss_total,Двост,2026-05-01,7365.429081093079,1883.402981430154,12847.455180756004
loss_total,Двост,2026-06-01,7075.504693805788,1593.4785941428627,12557.530793468712
loss_total,Двост,2026-07-01,3677.7459052685927,-1804.2801943943323,9159.772004931518
loss_total,Двост,2026-08-01,2770.23593131504,-2711.790168347885,8252.262030977965
loss_total,Двост,2026-09-01,1195.110439132046,-4286.915660530879,6677.136538794971
loss_total,Двост,2026-10-01,371.11976901170783,-5110.906330651217,5853.145868674633
loss_total,Двост,2026-11-01,931.5641850172592,-4550.461914645666,6413.590284680184
loss_total,Двост,2026-12-01,1226.0712818608813,-4255.954817802043,6708.097381523807
