ROAD,SEASON,EVENT_COUNT
Восточно-Сибирская,winter,280
Восточно-Сибирская,spring,379
Восточно-Сибирская,summer,469
Восточно-Сибирская,autumn,199
Горьковская,winter,145
Горьковская,spring,272
Горьковская,summer,184
Горьковская,autumn,100
Дальневосточная,winter,155
Дальневосточная,spring,246
Дальневосточная,summer,295
Дальневосточная,autumn,150
Забайкальская,winter,105
Забайкальская,spring,148
Забайкальская,summer,281
Забайкальская,autumn,145
Западно-Сибирская,winter,175
Западно-Сибирская,spring,301
Западно-Сибирская,summer,409
Западно-Сибирская,autumn,196
Калининградская,winter,4
Калининградская,spring,16
Калининградская,summer,10
Калининградская,autumn,5
Красноярская,winter,106
Красноярская,spring,172
Красноярская,summer,221
Красноярская,autumn,116
Куйбышевская,winter,23
Куйбышевская,spring,37
Куйбышевская,summer,34
Куйбышевская,autumn,19
Московская,winter,156
Московская,spring,226
Московская,summer,282
Московская,autumn,153
Октябрьская,winter,219
Октябрьская,spring,377
Октябрьская,summer,528
Октябрьская,autumn,281
Приволжская,winter,70
Приволжская,spring,89
Приволжская,summer,109
Приволжская,autumn,94
Свердловская,winter,140
Свердловская,spring,259
Свердловская,summer,253
Свердловская,autumn,116
Северная,winter,67
Северная,spring,103
Северная,summer,128
Северная,autumn,75
Северо-Кавказская,winter,104
Северо-Кавказская,spring,199
Северо-Кавказская,summer,211
Северо-Кавказская,autumn,123
Юго-Восточная,winter,35
Юго-Восточная,spring,34
Юго-Восточная,summer,53
Юго-Восточная,autumn,24
Южно-Уральская,winter,61
Южно-Уральская,spring,121
Южно-Уральская,summer,121
Южно-Уральская,autumn,65
