CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13187527,2024-01-20 12:57:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Контактная система, сваривание контактов",CSH,2024,,,,,,
3,13191806,2024-01-20 20:01:00,Западно-Сибирская,"З-СИБ, ШЧ-1",,,,"Тормозная шина, неисправность",CSH,2024,,,,,,
3,13188041,2024-01-20 20:17:00,Западно-Сибирская,"З-СИБ, ШЧ-17",,,,Неисправность монтажа,CSH,2024,,,,,,
3,13188042,2024-01-20 23:00:00,Западно-Сибирская,"З-СИБ, ШЧ-17",,,,Неисправность ПО объектного контроллера,CSH,2024,,,,,,
3,13188308,2024-01-21 07:55:00,Западно-Сибирская,"З-СИБ, ШЧ-14",,,,Обрыв монтажного провода,CSH,2024,,,,,,
3,13189965,2024-01-22 17:24:00,Западно-Сибирская,"З-СИБ, ШЧ-17",,,,Нарушение контакта трос/контактный болт,CSH,2024,,,,,,
3,13190025,2024-01-22 17:50:00,Западно-Сибирская,"З-СИБ, ШЧ-11",,,,"Обрыв троса, коррозия металла",CSH,2024,,,,,,
3,13190174,2024-01-22 23:15:00,Западно-Сибирская,"З-СИБ, ШЧ-20",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,
2,13190452,2024-01-23 06:20:00,Западно-Сибирская,"З-СИБ, ШЧ-17","4шт ч(к учету 2,45ч)",,,"Нарушение контакта в штепсельных розетках, замятие контакта",CSH,2024,4.0,"2,45ч",,,,
2,13191429,2024-01-23 13:51:00,Западно-Сибирская,"З-СИБ, ШЧ-21",,,"1шт ч(к учету 0,47)ч","Шибер, заклинивание",CSH,2024,,,,,1.0,"0,47ч"
3,13191591,2024-01-23 15:50:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Контактная система, увеличенное сопротивление",CSH,2024,,,,,,
3,13192059,2024-01-24 06:00:00,Западно-Сибирская,"З-СИБ, ШЧ-8",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,
3,13192403,2024-01-24 09:40:00,Западно-Сибирская,"З-СИБ, ШЧ-20",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,
3,13192785,2024-01-24 10:20:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Редуктор, неисправность",CSH,2024,,,,,,
3,13193626,2024-01-25 05:23:00,Западно-Сибирская,"З-СИБ, ШЧ-1",,,,"Редуктор, неисправность",CSH,2024,,,,,,
1,13194596,2024-01-25 17:04:00,Западно-Сибирская,"З-СИБ, ШЧ-2","6шт (к учету 5) ч(к учету 6,4ч)",,,Излом стойки,CSH,2024,5.0,"6,4ч",,,,
3,13195398,2024-01-26 10:12:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Контактная система, сваривание",CSH,2024,,,,,,
3,13195482,2024-01-26 11:45:00,Западно-Сибирская,"З-СИБ, ШЧ-20",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
2,13196773,2024-01-28 04:02:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)","5шт ч(к учету 1,75ч)",,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,5.0,"1,75ч",,,,
2,13197490,2024-01-29 04:22:00,Западно-Сибирская,"З-СИБ, ШЧ-2","1шт ч(к учету 0,43ч)","2шт (к учету 1) ч(к учету 0,27ч)","1шт ч(к учету 0,18)ч","Обмотка, короткое замыкание обмотки",CSH,2024,1.0,"0,43ч",1.0,"0,27ч",1.0,"0,18ч"
1,13198185,2024-01-29 14:13:00,Западно-Сибирская,"З-СИБ, ШЧ-6","9шт (к учету 7) ч(к учету 6,87ч)",,"2шт ч(к учету 0,68)ч",Излом стойки,CSH,2024,7.0,"6,87ч",,,2.0,"0,68ч"
