CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
1,12803704,2023-04-23 01:35:00,Московская,"МОСК, ШЧ-15","3шт 3,02ч",,,100% (свежий) излом датчика УКСПС,CSH,2023,3.0,"3,02ч",,,,
3,12803664,2023-04-23 01:39:00,Московская,"МОСК, ШЧ-34",,,,Электрический пробой элементов выпрямительных устройств электропитания АБ,CSH,2023,,,,,,
2,12803758,2023-04-23 05:56:00,Московская,"МОСК, ШЧ-4","1шт 0,37ч",,"2шт 0,35ч","Неисправность элементов крепления приборов на стативах для размещения аппаратуры светофоров, указателей и полос",CSH,2023,1.0,"0,37ч",,,2.0,"0,35ч"
3,12803799,2023-04-23 07:51:00,Московская,"МОСК, ШЧ-17",,,,Перегорание элементов панелей питания постовых устройств ЭЦ,CSH,2023,,,,,,
2,12804225,2023-04-23 16:35:00,Московская,"МОСК, ШЧ-21","2шт 0,92ч",,"1шт 0,25ч",Отсутствие внешнего энергоснабжения стрелки со схемой управления,CSH,2023,2.0,"0,92ч",,,1.0,"0,25ч"
3,12804250,2023-04-23 17:27:00,Московская,"МОСК, ШЧ-5",,,,Закорачивание РЦ,CSH,2023,,,,,,
3,12807334,2023-04-23 21:34:00,Московская,"МОСК, ШЧ-19",,,,"Механическое разрушение, обрыв воронки, муфты линии СЦБ напряжением до 1000 В",CSH,2023,,,,,,
2,12804431,2023-04-24 00:30:00,Московская,"МОСК, ШЧ-31","1шт 0,3ч","1шт 0,15ч",,Неисправность элементов фильтров аппаратуры АБ,CSH,2023,1.0,"0,3ч",1.0,"0,15ч",,
2,12804478,2023-04-24 02:30:00,Московская,"МОСК, ШЧ-21",,"1шт 0,23ч",,Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,1.0,"0,23ч",,
2,12804881,2023-04-24 08:03:00,Московская,"МОСК, ИЧ-2 ЛЬГОВСКАЯ Ш","2шт 1,37ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,2.0,"1,37ч",,,,
2,12805046,2023-04-24 09:15:00,Московская,"МОСК, ШЧ-8","2шт 0,55ч",,,Механическое заедание элементов пульта с выносным табло постовых устройств ЭЦ,CSH,2023,2.0,"0,55ч",,,,
3,12805182,2023-04-24 10:50:00,Московская,"МОСК, ШЧ-34",,,,Отсутствие внешнего энергоснабжения,CSH,2023,,,,,,
2,12806427,2023-04-25 02:36:00,Московская,"МОСК, ШЧ-26",,"1шт 0,22ч",,Неисправность контактной системы реле аппаратуры рельсовых цепей,CSH,2023,,,1.0,"0,22ч",,
3,12807128,2023-04-25 11:05:00,Московская,"МОСК, ШЧ-31",,,,Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,
1,12808372,2023-04-26 01:02:00,Московская,"МОСК, ШЧ-4","26шт 21,08ч",,"3шт 0,72ч",Закорачивание РЦ,CSH,2023,26.0,"21,08ч",,,3.0,"0,72ч"
2,12808795,2023-04-26 07:49:00,Московская,"МОСК, ШЧ-26",,,"1шт 0,4ч",Сообщение жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,,,1.0,"0,4ч"
2,12809390,2023-04-26 12:06:00,Московская,"МОСК, ШЧ-15",,,"1шт 0,13ч",Ослабление затяжки болтов перемычки,CSH,2023,,,,,1.0,"0,13ч"
2,12810124,2023-04-26 18:00:00,Московская,"МОСК, ШЧ-14",,,"3шт 0,3ч",Сваривание контактов реле аппаратуры АБ,CSH,2023,,,,,3.0,"0,3ч"
2,12810655,2023-04-27 06:43:00,Московская,"МОСК, ШЧ-10","1шт 0,32ч",,"2шт 0,2ч",Нарушение контакта в монтаже в ящиках для размещения устройств АБ,CSH,2023,1.0,"0,32ч",,,2.0,"0,2ч"
2,12810927,2023-04-27 09:23:00,Московская,"МОСК, ШЧ-5",,,"1шт 0,12ч",Нарушение регулировочного режима,CSH,2023,,,,,1.0,"0,12ч"
3,12811475,2023-04-27 13:37:00,Московская,"МОСК, ШЧ-33",,,,Нарушение регулировки гарнитуры стрелки,CSH,2023,,,,,,
3,12811929,2023-04-27 19:55:00,Московская,"МОСК, ШЧ-24",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12811959,2023-04-27 21:08:00,Московская,"МОСК, ШЧ-6",,,"3шт 0,5ч",Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты постовых устройств ЭЦ,CSH,2023,,,,,3.0,"0,5ч"
2,12812099,2023-04-28 01:27:00,Московская,"МОСК, ШЧ-26","1шт 0,52ч",,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,1.0,"0,52ч",,,,
2,12812995,2023-04-28 13:45:00,Московская,"МОСК, ШЧ-35","1шт 0,43ч",,"1шт 0,13ч",Неисправность элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,1.0,"0,43ч",,,1.0,"0,13ч"
2,12814774,2023-04-30 14:40:00,Московская,"МОСК, ШЧ-24","8шт 4,13ч",,"4шт 1,08ч","Неисправность элементов трансформаторов аппаратуры светофоров, указателей и полос",CSH,2023,8.0,"4,13ч",,,4.0,"1,08ч"
2,12814843,2023-04-30 16:53:00,Московская,"МОСК, ШЧ-5",,,"2шт 0,23ч",Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,,,2.0,"0,23ч"
