CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,13184305,2024-01-17 20:02:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","5шт ч(к учету 2,88ч)",,"2шт (к учету 1) ч(к учету 0,58)ч",Излом провода под гайкой,CSH,2024,5.0,"2,88ч",,,1.0,"0,58ч"
3,13192499,2024-01-21 02:04:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,
2,13188184,2024-01-21 07:05:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,"2шт ч(к учету 0,27)ч","Трансформатор, пробой изоляции",CSH,2024,,,,,2.0,"0,27ч"
3,13189437,2024-01-22 07:26:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,,"Трансформатор, обрыв обмотки",CSH,2024,,,,,,
3,13194850,2024-01-26 03:10:00,Горьковская,"ГОРЬК, ИЧ-2 НИЖНИЙ НОВГОРОД Ш",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,
3,13199083,2024-01-26 17:30:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
2,13195991,2024-01-26 23:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,53ч)",,,"Лампы, перегорание основной нити",CSH,2024,2.0,"0,53ч",,,,
3,13198966,2024-01-27 13:53:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Линзы, бой",CSH,2024,,,,,,
3,13199165,2024-01-28 12:30:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,
3,13199170,2024-01-28 21:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,
3,13202989,2024-01-29 12:10:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
1,13197971,2024-01-29 13:00:00,Горьковская,"ГОРЬК, ШЧ-10","2шт ч(к учету 1,88ч)",,,Короткое замыкание монтажа,CSH,2024,2.0,"1,88ч",,,,
3,13199079,2024-01-29 15:44:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Светодиоды, неисправность",CSH,2024,,,,,,
3,13202035,2024-01-29 21:52:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
3,13200167,2024-01-29 22:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,,,,,,
3,13201471,2024-01-30 01:45:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,
3,13202982,2024-01-30 02:04:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
3,13202991,2024-01-30 02:54:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
3,13199191,2024-01-30 08:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, несоответствие номинала",CSH,2024,,,,,,
