,START_TIME,CATEGORY,DELTA_TIME,DELTA_SECONDS,TIME_DIFF,INDEX
61,2024-01-17 03:12:00,3,15 days 23:27:00,23007.0,151.0,0.07558859975216853
62,2024-01-17 05:40:00,3,16 days 01:55:00,23155.0,148.0,0.0768277571251549
63,2024-01-17 08:00:00,3,16 days 04:15:00,23295.0,140.0,0.07806691449814127
64,2024-01-17 09:42:00,2,16 days 05:57:00,23397.0,102.0,0.07930607187112763
65,2024-01-17 10:12:00,2,16 days 06:27:00,23427.0,30.0,0.080545229244114
66,2024-01-18 11:22:00,3,17 days 07:37:00,24937.0,1510.0,0.08178438661710037
67,2024-01-18 13:08:00,3,17 days 09:23:00,25043.0,106.0,0.08302354399008674
68,2024-01-18 23:59:00,3,17 days 20:14:00,25694.0,651.0,0.08426270136307311
69,2024-01-19 00:55:00,3,17 days 21:10:00,25750.0,56.0,0.08550185873605948
70,2024-01-19 05:01:00,3,18 days 01:16:00,25996.0,246.0,0.08674101610904585
71,2024-01-19 07:18:00,3,18 days 03:33:00,26133.0,137.0,0.08798017348203221
72,2024-01-19 09:30:00,3,18 days 05:45:00,26265.0,132.0,0.08921933085501858
73,2024-01-19 11:10:00,2,18 days 07:25:00,26365.0,100.0,0.09045848822800495
74,2024-01-20 06:42:00,3,19 days 02:57:00,27537.0,1172.0,0.09169764560099132
75,2024-01-20 09:25:00,2,19 days 05:40:00,27700.0,163.0,0.0929368029739777
76,2024-01-20 12:50:00,3,19 days 09:05:00,27905.0,205.0,0.09417596034696407
77,2024-01-20 17:58:00,3,19 days 14:13:00,28213.0,308.0,0.09541511771995044
78,2024-01-21 02:23:00,3,19 days 22:38:00,28718.0,505.0,0.09665427509293681
79,2024-01-21 11:56:00,3,20 days 08:11:00,29291.0,573.0,0.09789343246592318
80,2024-01-21 12:40:00,2,20 days 08:55:00,29335.0,44.0,0.09913258983890955
81,2024-01-21 20:03:00,3,20 days 16:18:00,29778.0,443.0,0.10037174721189591
82,2024-01-22 13:11:00,3,21 days 09:26:00,30806.0,1028.0,0.10161090458488228
83,2024-01-22 15:49:00,1,21 days 12:04:00,30964.0,158.0,0.10285006195786865
84,2024-01-22 20:22:00,2,21 days 16:37:00,31237.0,273.0,0.10408921933085502
85,2024-01-22 22:55:00,1,21 days 19:10:00,31390.0,153.0,0.10532837670384139
86,2024-01-23 01:06:00,3,21 days 21:21:00,31521.0,131.0,0.10656753407682776
87,2024-01-23 08:31:00,3,22 days 04:46:00,31966.0,445.0,0.10780669144981413
88,2024-01-24 01:10:00,2,22 days 21:25:00,32965.0,999.0,0.1090458488228005
89,2024-01-24 14:43:00,3,23 days 10:58:00,33778.0,813.0,0.11028500619578686
90,2024-01-25 01:06:00,2,23 days 21:21:00,34401.0,623.0,0.11152416356877323
91,2024-01-25 03:38:00,3,23 days 23:53:00,34553.0,152.0,0.1127633209417596
92,2024-01-25 06:36:00,1,24 days 02:51:00,34731.0,178.0,0.11400247831474597
93,2024-01-25 13:59:00,2,24 days 10:14:00,35174.0,443.0,0.11524163568773234
94,2024-01-25 21:42:00,1,24 days 17:57:00,35637.0,463.0,0.11648079306071871
95,2024-01-26 01:16:00,1,24 days 21:31:00,35851.0,214.0,0.11771995043370508
96,2024-01-26 15:50:00,3,25 days 12:05:00,36725.0,874.0,0.11895910780669144
97,2024-01-27 02:58:00,2,25 days 23:13:00,37393.0,668.0,0.12019826517967783
98,2024-01-27 10:00:00,3,26 days 06:15:00,37815.0,422.0,0.1214374225526642
99,2024-01-27 16:56:00,2,26 days 13:11:00,38231.0,416.0,0.12267657992565056
100,2024-01-28 03:20:00,2,26 days 23:35:00,38855.0,624.0,0.12391573729863693
101,2024-01-29 04:00:00,1,28 days 00:15:00,40335.0,1480.0,0.1251548946716233
102,2024-01-29 08:00:00,3,28 days 04:15:00,40575.0,240.0,0.12639405204460966
103,2024-01-29 16:42:00,2,28 days 12:57:00,41097.0,522.0,0.12763320941759604
104,2024-01-30 09:10:00,3,29 days 05:25:00,42085.0,988.0,0.1288723667905824
105,2024-01-30 11:45:00,3,29 days 08:00:00,42240.0,155.0,0.13011152416356878
106,2024-02-01 02:48:00,2,30 days 23:03:00,44583.0,2343.0,0.13135068153655513
107,2024-02-02 02:12:00,3,31 days 22:27:00,45987.0,1404.0,0.1325898389095415
108,2024-02-02 12:34:00,2,32 days 08:49:00,46609.0,622.0,0.1338289962825279
109,2024-02-02 15:56:00,2,32 days 12:11:00,46811.0,202.0,0.13506815365551425
110,2024-02-03 02:17:00,2,32 days 22:32:00,47432.0,621.0,0.13630731102850063
111,2024-02-03 11:25:00,2,33 days 07:40:00,47980.0,548.0,0.137546468401487
112,2024-02-03 11:45:00,2,33 days 08:00:00,48000.0,20.0,0.13878562577447337
113,2024-02-03 20:00:00,2,33 days 16:15:00,48495.0,495.0,0.14002478314745972
114,2024-02-04 07:00:00,2,34 days 03:15:00,49155.0,660.0,0.1412639405204461
115,2024-02-05 00:00:00,3,34 days 20:15:00,50175.0,1020.0,0.14250309789343246
116,2024-02-05 03:20:00,3,34 days 23:35:00,50375.0,200.0,0.14374225526641884
117,2024-02-05 15:10:00,2,35 days 11:25:00,51085.0,710.0,0.1449814126394052
118,2024-02-05 22:19:00,3,35 days 18:34:00,51514.0,429.0,0.14622057001239158
119,2024-02-06 00:18:00,3,35 days 20:33:00,51633.0,119.0,0.14745972738537794
120,2024-02-06 04:59:00,3,36 days 01:14:00,51914.0,281.0,0.14869888475836432
121,2024-02-06 22:57:00,3,36 days 19:12:00,52992.0,1078.0,0.14993804213135067
122,2024-02-07 05:25:00,3,37 days 01:40:00,53380.0,388.0,0.15117719950433706
123,2024-02-07 07:40:00,1,37 days 03:55:00,53515.0,135.0,0.1524163568773234
124,2024-02-07 08:00:00,3,37 days 04:15:00,53535.0,20.0,0.1536555142503098
125,2024-02-08 00:50:00,3,37 days 21:05:00,54545.0,1010.0,0.15489467162329615
126,2024-02-08 05:15:00,3,38 days 01:30:00,54810.0,265.0,0.15613382899628253
127,2024-02-08 06:46:00,3,38 days 03:01:00,54901.0,91.0,0.15737298636926889
128,2024-02-08 13:10:00,3,38 days 09:25:00,55285.0,384.0,0.15861214374225527
129,2024-02-08 16:24:00,1,38 days 12:39:00,55479.0,194.0,0.15985130111524165
130,2024-02-08 18:58:00,2,38 days 15:13:00,55633.0,154.0,0.161090458488228
131,2024-02-09 17:27:00,2,39 days 13:42:00,56982.0,1349.0,0.1623296158612144
132,2024-02-09 22:07:00,3,39 days 18:22:00,57262.0,280.0,0.16356877323420074
133,2024-02-10 03:49:00,1,40 days 00:04:00,57604.0,342.0,0.16480793060718713
134,2024-02-10 13:53:00,2,40 days 10:08:00,58208.0,604.0,0.16604708798017348
135,2024-02-11 06:23:00,2,41 days 02:38:00,59198.0,990.0,0.16728624535315986
136,2024-02-11 08:20:00,3,41 days 04:35:00,59315.0,117.0,0.16852540272614622
137,2024-02-11 19:46:00,1,41 days 16:01:00,60001.0,686.0,0.1697645600991326
138,2024-02-12 00:00:00,3,41 days 20:15:00,60255.0,254.0,0.17100371747211895
139,2024-02-12 14:35:00,1,42 days 10:50:00,61130.0,875.0,0.17224287484510534
140,2024-02-12 16:47:00,1,42 days 13:02:00,61262.0,132.0,0.1734820322180917
141,2024-02-12 19:58:00,2,42 days 16:13:00,61453.0,191.0,0.17472118959107807
142,2024-02-13 02:44:00,3,42 days 22:59:00,61859.0,406.0,0.17596034696406443
143,2024-02-13 05:01:00,1,43 days 01:16:00,61996.0,137.0,0.1771995043370508
144,2024-02-13 06:04:00,2,43 days 02:19:00,62059.0,63.0,0.17843866171003717
145,2024-02-13 07:35:00,3,43 days 03:50:00,62150.0,91.0,0.17967781908302355
146,2024-02-13 13:05:00,2,43 days 09:20:00,62480.0,330.0,0.1809169764560099
147,2024-02-14 07:04:00,3,44 days 03:19:00,63559.0,1079.0,0.1821561338289963
148,2024-02-14 07:37:00,2,44 days 03:52:00,63592.0,33.0,0.18339529120198264
149,2024-02-14 13:00:00,3,44 days 09:15:00,63915.0,323.0,0.18463444857496902
150,2024-02-14 13:40:00,3,44 days 09:55:00,63955.0,40.0,0.1858736059479554
151,2024-02-14 23:56:00,3,44 days 20:11:00,64571.0,616.0,0.18711276332094176
152,2024-02-15 12:03:00,3,45 days 08:18:00,65298.0,727.0,0.18835192069392814
153,2024-02-15 20:01:00,3,45 days 16:16:00,65776.0,478.0,0.1895910780669145
154,2024-02-16 02:52:00,3,45 days 23:07:00,66187.0,411.0,0.19083023543990088
155,2024-02-16 03:19:00,3,45 days 23:34:00,66214.0,27.0,0.19206939281288724
156,2024-02-16 09:00:00,3,46 days 05:15:00,66555.0,341.0,0.19330855018587362
157,2024-02-17 00:03:00,3,46 days 20:18:00,67458.0,903.0,0.19454770755885997
158,2024-02-17 03:38:00,3,46 days 23:53:00,67673.0,215.0,0.19578686493184635
159,2024-02-17 16:00:00,3,47 days 12:15:00,68415.0,742.0,0.1970260223048327
160,2024-02-18 00:58:00,1,47 days 21:13:00,68953.0,538.0,0.1982651796778191
161,2024-02-18 04:26:00,1,48 days 00:41:00,69161.0,208.0,0.19950433705080545
162,2024-02-18 21:15:00,2,48 days 17:30:00,70170.0,1009.0,0.20074349442379183
163,2024-02-18 21:20:00,3,48 days 17:35:00,70175.0,5.0,0.20198265179677818
