DEPARTMENT,YEAR,ROAD,CATEGORY,COUNT
CV,2024,Юго-Восточная,3,12
CT,2024,Свердловская,1,11
CT,2023,Забайкальская,2,10
CSH,2024,Калининградская,2,9
CT,2023,Забайкальская,1,9
CT,2024,Забайкальская,1,9
CT,2024,Северо-Кавказская,3,9
CT,2024,Юго-Восточная,3,9
CV,2023,Восточно-Сибирская,1,9
CV,2023,Северная,1,9
CV,2024,Северная,1,9
CSH,2024,Приволжская,1,8
CT,2023,Юго-Восточная,3,8
CT,2024,Куйбышевская,3,8
CT,2024,Свердловская,2,8
CSH,2023,Калининградская,2,7
CSH,2023,Приволжская,1,7
CT,2023,Восточно-Сибирская,1,7
CT,2024,Дальневосточная,1,7
CV,2024,Южно-Уральская,2,7
CT,2023,Красноярская,1,6
CT,2023,Свердловская,2,6
CT,2023,Северо-Кавказская,2,6
CT,2023,Северо-Кавказская,3,6
CT,2023,Южно-Уральская,3,6
CT,2024,Забайкальская,2,6
CT,2024,Западно-Сибирская,1,6
CT,2024,Северо-Кавказская,1,6
CV,2023,Горьковская,2,6
CV,2023,Красноярская,1,6
CV,2023,Северо-Кавказская,3,6
CV,2024,Красноярская,1,6
CT,2023,Свердловская,1,5
CT,2024,Западно-Сибирская,2,5
CT,2024,Московская,1,5
CT,2024,Южно-Уральская,1,5
CV,2023,Октябрьская,1,5
CV,2024,Восточно-Сибирская,1,5
CT,2023,Дальневосточная,1,4
CT,2023,Западно-Сибирская,2,4
CV,2023,Приволжская,3,4
CSH,2023,Южно-Уральская,1,3
CT,2023,Горьковская,1,3
CT,2023,Горьковская,3,3
CT,2023,Забайкальская,3,3
CT,2023,Западно-Сибирская,1,3
CT,2023,Куйбышевская,3,3
CT,2024,Забайкальская,3,3
CT,2024,Северная,2,3
CT,2024,Южно-Уральская,2,3
CV,2023,Горьковская,1,3
CV,2023,Московская,2,3
CV,2023,Свердловская,1,3
CV,2023,Южно-Уральская,1,3
CV,2024,Горьковская,1,3
CV,2024,Северо-Кавказская,3,3
CSH,2024,Южно-Уральская,1,2
CT,2023,Куйбышевская,1,2
CT,2023,Северная,2,2
CT,2023,Северная,3,2
CT,2024,Горьковская,2,2
CT,2024,Красноярская,1,2
CT,2024,Северная,3,2
CV,2023,Куйбышевская,2,2
CV,2023,Северо-Кавказская,1,2
CV,2023,Северо-Кавказская,2,2
CV,2024,Свердловская,1,2
CSH,2023,Северо-Кавказская,1,1
CSH,2024,Куйбышевская,1,1
CT,2023,Калининградская,2,1
CT,2023,Московская,1,1
CT,2023,Приволжская,2,1
CT,2023,Юго-Восточная,1,1
CT,2023,Южно-Уральская,1,1
CT,2023,Южно-Уральская,2,1
CT,2024,Горьковская,1,1
CT,2024,Горьковская,3,1
CT,2024,Дальневосточная,2,1
CT,2024,Калининградская,2,1
CT,2024,Куйбышевская,1,1
CT,2024,Куйбышевская,2,1
CT,2024,Северная,1,1
CT,2024,Северо-Кавказская,2,1
CT,2024,Юго-Восточная,2,1
CV,2023,Горьковская,3,1
CV,2023,Куйбышевская,1,1
CV,2023,Московская,1,1
CV,2024,Горьковская,2,1
CV,2024,Куйбышевская,1,1
