FILE_NAME,ENTITY_TYPE,ENTITY_NAME,YEAR,SEASON,SEASON_INDEX,N,TIME_DIFF_MEAN,LAMBDA_MLE,LAMBDA_FITTER,LAMBDA_MONTH,KS_STAT,KS_PVALUE,KS_OK,KS_ALPHA
Приволжская_2023.csv,road,Приволжская,2023,Зима,1,69,1196.8260869565217,0.0008355432847749482,0.0008418740849194729,36.36896046852123,0.10538949027660799,0.39983391878532204,True,0.05
Приволжская_2023.csv,road,Приволжская,2023,Весна,2,89,1474.056179775281,0.000678400195135337,0.0006793218993534992,29.346706052071166,0.07575075604642212,0.658450033353452,True,0.05
Приволжская_2023.csv,road,Приволжская,2023,Лето,3,109,1213.8440366972477,0.0008238290668057351,0.0008341368596660392,36.03471233757289,0.09122884413869947,0.3056698221006233,True,0.05
Приволжская_2023.csv,road,Приволжская,2023,Осень,4,93,954.6666666666666,0.001047486033519553,0.0010619469026548673,45.876106194690266,0.08007749983151413,0.562419828478842,True,0.05
