UNIQUE WEEK,SUMM
1,10065
2,10125
3,7178
4,7090
5,7218
6,8446
7,8068
8,8543
9,8513
10,7834
11,9998
12,10279
13,10365
14,7876
15,9641
16,11748
17,9283
18,9303
19,9716
20,9190
21,11276
22,11783
23,13799
24,13041
25,15425
26,17212
27,14954
28,16457
29,18153
30,17751
31,20841
32,12653
33,15316
34,10253
35,13649
36,10624
37,8935
38,10733
39,8645
40,9435
41,9961
42,9021
43,9895
