UNIQUE WEEK,SUMM
1,1939
2,704
3,824
4,1008
5,940
6,359
7,1709
8,558
9,233
10,571
11,156
12,474
13,364
14,187
15,762
16,991
17,161
18,441
19,159
20,1212
21,632
22,526
23,157
24,298
25,177
26,865
27,855
28,681
29,345
30,870
31,870
32,631
33,766
34,1373
35,195
36,1115
37,1491
38,702
39,2168
40,1006
41,2583
42,1426
43,940
