UNIQUE WEEK,SUMM
1,2055
2,1464
3,2073
4,2340
5,920
6,1367
7,1318
8,1232
9,1359
10,758
11,1162
12,1550
13,865
14,1577
15,1237
16,949
17,901
18,920
19,670
20,648
21,968
22,861
23,1104
24,979
25,832
26,820
27,936
28,1016
29,590
30,434
31,656
32,778
33,1270
34,714
35,1100
36,817
37,950
38,491
39,749
40,769
41,779
42,260
43,769
