,TIME_DIFF
512,244.0
513,292.0
514,332.0
515,585.0
516,1555.0
517,474.0
518,118.0
519,390.0
520,907.0
521,117.0
522,218.0
523,1622.0
524,4513.0
525,122.0
526,1027.0
527,1538.0
528,863.0
529,545.0
530,910.0
531,2278.0
532,219.0
533,1498.0
534,1621.0
535,149.0
536,1693.0
537,2002.0
538,1469.0
539,658.0
540,1004.0
541,697.0
542,508.0
543,196.0
544,232.0
545,105.0
546,163.0
547,113.0
548,1790.0
549,4346.0
550,2311.0
551,91.0
552,361.0
553,461.0
554,2.0
555,978.0
556,314.0
557,620.0
558,595.0
559,511.0
560,682.0
561,443.0
562,2033.0
563,2984.0
564,1470.0
565,2136.0
566,75.0
567,223.0
568,2011.0
569,974.0
570,433.0
571,2064.0
572,549.0
573,82.0
574,304.0
575,2292.0
576,44.0
577,690.0
578,361.0
579,708.0
580,428.0
581,26.0
582,26.0
583,60.0
584,572.0
585,1700.0
586,257.0
587,1066.0
588,272.0
589,10.0
590,153.0
591,42.0
592,1070.0
593,209.0
594,500.0
595,357.0
596,443.0
597,193.0
