,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2024-01-01 05:45:00,3,0 days 00:00:00,0.0,,0.0
1,2024-01-01 07:03:00,3,0 days 01:18:00,78.0,78.0,0.00018705574261129816
2,2024-01-01 07:32:00,3,0 days 01:47:00,107.0,29.0,0.0003741114852225963
3,2024-01-01 14:29:00,3,0 days 08:44:00,524.0,417.0,0.0005611672278338944
4,2024-01-01 19:27:00,3,0 days 13:42:00,822.0,298.0,0.0007482229704451926
5,2024-01-01 21:28:00,3,0 days 15:43:00,943.0,121.0,0.0009352787130564908
6,2024-01-01 22:24:00,3,0 days 16:39:00,999.0,56.0,0.0011223344556677889
7,2024-01-02 07:40:00,3,1 days 01:55:00,1555.0,556.0,0.001309390198279087
8,2024-01-02 09:32:00,3,1 days 03:47:00,1667.0,112.0,0.0014964459408903852
9,2024-01-02 10:29:00,3,1 days 04:44:00,1724.0,57.0,0.0016835016835016834
10,2024-01-02 13:03:00,3,1 days 07:18:00,1878.0,154.0,0.0018705574261129816
11,2024-01-02 14:20:00,3,1 days 08:35:00,1955.0,77.0,0.0020576131687242796
12,2024-01-02 17:50:00,3,1 days 12:05:00,2165.0,210.0,0.0022446689113355778
13,2024-01-02 19:25:00,3,1 days 13:40:00,2260.0,95.0,0.002431724653946876
14,2024-01-02 21:20:00,3,1 days 15:35:00,2375.0,115.0,0.002618780396558174
15,2024-01-03 00:55:00,3,1 days 19:10:00,2590.0,215.0,0.0028058361391694723
16,2024-01-03 02:22:00,3,1 days 20:37:00,2677.0,87.0,0.0029928918817807705
17,2024-01-03 04:50:00,3,1 days 23:05:00,2825.0,148.0,0.0031799476243920687
18,2024-01-03 05:40:00,3,1 days 23:55:00,2875.0,50.0,0.003367003367003367
19,2024-01-03 07:09:00,3,2 days 01:24:00,2964.0,89.0,0.003554059109614665
20,2024-01-03 07:15:00,3,2 days 01:30:00,2970.0,6.0,0.0037411148522259632
21,2024-01-03 08:07:00,3,2 days 02:22:00,3022.0,52.0,0.003928170594837261
22,2024-01-03 08:11:00,3,2 days 02:26:00,3026.0,4.0,0.004115226337448559
23,2024-01-03 09:38:00,3,2 days 03:53:00,3113.0,87.0,0.004302282080059857
24,2024-01-03 10:27:00,3,2 days 04:42:00,3162.0,49.0,0.0044893378226711555
25,2024-01-03 13:40:00,3,2 days 07:55:00,3355.0,193.0,0.004676393565282454
26,2024-01-03 15:47:00,3,2 days 10:02:00,3482.0,127.0,0.004863449307893752
27,2024-01-03 15:55:00,3,2 days 10:10:00,3490.0,8.0,0.00505050505050505
28,2024-01-03 22:50:00,3,2 days 17:05:00,3905.0,415.0,0.005237560793116348
