INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
30,2025-01-14 07:12:59.904207288,Зима,0.0013884256494186,0.002237045029408724,1.6112098118797225,3.1346949586889497,3.1000000000000005,30,0
65,2025-01-20 19:55:30.709399326,Зима,0.0013884256494186,0.004622194311084014,3.329090263507842,3.1817596181179573,3.1000000000000005,30,1
196,2025-04-02 21:03:38.074814730,Весна,0.0012170920028528,0.003286534470550595,2.700317201039141,3.1691715937879263,3.1000000000000005,30,1
369,2025-07-12 02:12:15.752242896,Лето,0.0016748144124569,0.003671903478910107,2.1924240988131576,3.2174914081415666,3.1000000000000005,30,0
404,2025-07-17 04:10:18.315867834,Лето,0.0016748144124569,0.005605157653131918,3.3467335911620966,3.6311450757915784,3.1000000000000005,30,1
555,2025-09-24 18:49:58.667653248,Осень,0.0013536899588509,0.002137805129296845,1.5792428061677821,3.379892514125321,3.1000000000000005,30,0
590,2025-09-28 02:02:42.107318244,Осень,0.0013536899588509,0.009156328330707566,6.763977431346282,3.630835215041145,3.1000000000000005,30,1
